name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,100.0,24kGoldn,0.7,0.722,-3.5580000000000003,0,0.0369,0.221,0.0,0.272,0.7559999999999999,https://p.scdn.co/mp3-preview/45cb08fdb67744ab7f1f172bb750e9c10415c37a?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ff8c985ecb3b7c5f847be357
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,97.0,The Weeknd,0.514,0.73,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Dynamite,0t1kP63rueHleOhQkYSXFY,97.0,BTS,0.746,0.765,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,https://p.scdn.co/mp3-preview/a707728846c105f4d8552b8546c30b121bf517f0?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273755995e9ff2b1b0c753f5eb8
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,96.0,DaBaby,0.746,0.69,-7.956,1,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,,https://i.scdn.co/image/ab67616d0000b27320e08c8cc23f404d723b5647
For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,95.0,Pop Smoke,0.823,0.586,-6.606,0,0.2,0.114,0.0,0.193,0.34700000000000003,,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369
Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,95.0,Drake,0.7609999999999999,0.518,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,,https://i.scdn.co/image/ab67616d0000b27352c75ed37313b889447011ef
Hawái,4uoR6qeWeuL4Qeu2qJzkuG,95.0,Maluma,0.787,0.728,-3.455,0,0.389,0.18899999999999997,2.2899999999999998e-05,0.0629,0.545,https://p.scdn.co/mp3-preview/07037d916c2e4ea28cfe9f7489364d8bd18ff15e?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2734805528033046475b63f0fd5
Lemonade,02kDW379Yfd5PzW5A6vuGt,94.0,Internet Money,0.799,0.66,-6.153,0,0.079,0.256,0.0,0.111,0.47100000000000003,,https://i.scdn.co/image/ab67616d0000b273d46a8fffbe6c8630784f04da
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,94.0,Jawsh 685,0.767,0.48100000000000004,-8.52,0,0.0803,0.23399999999999999,0.0,0.26899999999999996,0.7609999999999999,https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e3eb3b8feeafb746ecf659e7
Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,94.0,Joel Corry,0.7340000000000001,0.8740000000000001,-3.158,1,0.0662,0.168,1.1400000000000001e-05,0.0489,0.905,https://p.scdn.co/mp3-preview/a860b3fe04f480539af5f08b3672bb2ecff71b6b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb
Heather,4xqrdfXkTW4T0RauPLv3WA,94.0,Conan Gray,0.35700000000000004,0.425,-7.301,1,0.0333,0.584,0.0,0.322,0.27,,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43
Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,94.0,Justin Bieber,0.6729999999999999,0.7040000000000001,-8.056000000000001,1,0.36,0.196,0.0,0.0898,0.37200000000000005,,https://i.scdn.co/image/ab67616d0000b273572c68f79b356c21202e248c
you broke me first,45bE4HXI0AwGZXfZtMp8JR,94.0,Tate McRae,0.642,0.374,-9.386000000000001,1,0.0545,0.7859999999999999,0.0,0.0906,0.0799,https://p.scdn.co/mp3-preview/47afb10323067e827310e5898e4d52c8bdbe72ee?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4
Breaking Me,3H7ihDc1dqLriiWXwsc2po,93.0,Topic,0.789,0.72,-5.652,0,0.218,0.223,0.0,0.129,0.664,,https://i.scdn.co/image/ab67616d0000b273ca801dab96017456b9847ac2
