name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
What It Takes,2fAYTT9kcUm8tnUrhD80sC,49.0,Aerosmith,0.522,0.738,-6.423,1,0.031,0.0286,5.8e-06,0.4,0.461,,https://i.scdn.co/image/ab67616d0000b273d5fdfcb083cb825348505a93
Out for a Rip,3GTUXYB1x0Md6ceQGfDRXC,49.0,Shark Tank,0.515,0.942,-8.212,1,0.564,0.0392,0.0,0.373,0.396,,https://i.scdn.co/image/ab67616d0000b273a314a39090d9ac0861d66e41
Be Your Girl,4AOUkAWdXPucnYe6GYdZjk,49.0,Teedra Moses,0.714,0.722,-5.837,0,0.0936,0.164,2.38e-06,0.175,0.628,,https://i.scdn.co/image/ab67616d0000b2735a056516915290e46b1679a6
Baby's Got Sauce,7MXK7DwU1DpGFTA31AZW6S,49.0,G. Love & Special Sauce,0.8,0.532,-9.937,0,0.136,0.0873,0.0,0.17,0.863,,https://i.scdn.co/image/ab67616d0000b2737923b2156563568de6115187
Grapevine Fires,1x3bxSSANgIxkoyGldhmdX,49.0,Death Cab for Cutie,0.619,0.427,-10.737,1,0.04,0.699,0.00238,0.0823,0.436,,https://i.scdn.co/image/ab67616d0000b2735026db4c201719ff4b0bc1d4
No Tears,6kYTywTCfycHZcH0WdLyRy,49.0,Scarface,0.88,0.818,-7.427,1,0.359,0.0353,0.0,0.713,0.726,,https://i.scdn.co/image/ab67616d0000b273602c9567392bbf640373e293
Age Ain't Nothing But a Number,2hMk3VNicbCoV8I81m7Z3q,49.0,Aaliyah,0.589,0.532,-8.572,0,0.0271,0.155,0.0903,0.323,0.434,,https://i.scdn.co/image/ab67616d0000b27371aaf1ce904c974ed4efc0c8
Amigas Cheetahs,2vC1qUcTJlWO9JQfcaOk9b,49.0,The Cheetah Girls,0.358,0.896,-4.642,0,0.287,0.177,4.57e-06,0.518,0.535,,https://i.scdn.co/image/ab67616d0000b273d04c017aa4d60a8d64239ae2
Pieces,7C0yPWHEwTPQ4xqOz96Aro,49.0,Red,0.283,0.354,-11.552,0,0.0288,0.344,0.000245,0.0758,0.0644,,https://i.scdn.co/image/ab67616d0000b2739bb59162c120bc6396d6900f
Jodye,375YEKrb4JSu03HPzwOFfJ,49.0,A$AP Rocky,0.706,0.525,-7.472,1,0.204,0.0192,9.78e-05,0.112,0.0773,,https://i.scdn.co/image/ab67616d0000b273f3d5966c161176c6d72fc3b3
