name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Você Vai Ver,0jwGxgupGo2ovlU5eonF9D,61.0,Zezé Di Camargo & Luciano,0.7390000000000001,0.575,-9.093,1,0.0324,0.493,0.0,0.166,0.7120000000000001,https://p.scdn.co/mp3-preview/ec313f0e5c252b9fd0a14a00dacc9349b7bc02e1?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27346401faa35b9a976385d8375
Jesus Is The One (I Got Depression),1YR9iNGXtsbrd8deR9ULDD,61.0,Zack Fox,0.857,0.446,-12.777999999999999,1,0.902,0.215,0.0,0.0964,0.327,https://p.scdn.co/mp3-preview/6908fc4fe56baf79a59847aa923758096e620796?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e67e95d5b77d7442aad443c7
Hate My Life,5zcLnqZbAjDGXX7HNcT1rE,61.0,Theory of a Deadman,0.508,0.828,-4.065,1,0.033,0.0162,0.0,0.266,0.449,https://p.scdn.co/mp3-preview/e181a191072a99b7d42416e5738b6c49f389ffcc?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2733a7c61f8e1b879dd5a2a8ae3
Mover Awayer,1yyIxshSIfW89EPTW0xkPH,61.0,Hobo Johnson,0.703,0.636,-5.737,0,0.307,0.026000000000000002,0.0,0.0355,0.648,https://p.scdn.co/mp3-preview/57dab033d29349ef8cbe628e5e784b5a8889305f?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2733bf723a8f9cb66971812f472
Habits,3KkWGDCb6byHjNYjxBihGK,61.0,NAV,0.75,0.534,-7.004,1,0.294,0.23,0.0,0.152,0.451,,https://i.scdn.co/image/ab67616d0000b273a4aaecb02b51550635d7c1b1
Need U Bad,0Ri0LzOMJmqi9HGZE5cRYV,61.0,Jazmine Sullivan,0.529,0.659,-5.318,1,0.0629,0.0232,0.0,0.114,0.36,https://p.scdn.co/mp3-preview/db30aba97c6d5f82aad1e17e0cd76772a5342ace?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ebcc9144c41ae7d42efe6d94
Shattered (Turn The Car Around),0J3MfW6wwIBqC4zjp5AbQL,61.0,O.A.R.,0.5710000000000001,0.784,-6.396,1,0.0352,0.0175,0.0,0.19,0.462,https://p.scdn.co/mp3-preview/1593b3a378652d0d03dea90332e0f8802820ab32?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273209479956bb96a568c6080a5
Holiday / Boulevard of Broken Dreams,0HJRAM7Gt9jXskuXjZeFX3,61.0,Green Day,0.29,0.8270000000000001,-3.451,1,0.0362,0.000659,2.55e-06,0.301,0.45,https://p.scdn.co/mp3-preview/0cbb527cde1477c39d3fdbf58ddc574d5559c2dc?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2731d13a9948aab982fabdf5209
How To Love,1ZOROX1KhC9xipkXFCxeDf,61.0,Lil Wayne,0.644,0.6609999999999999,-6.093,1,0.0418,0.000177,5.23e-06,0.10800000000000001,0.272,,https://i.scdn.co/image/ab67616d0000b273007a6a23bf7e0d42cdd3bc2d
Sanctified with Dynamite,2ZUUturolW3VpzXWzPEy2X,61.0,Powerwolf,0.235,0.968,-4.758,0,0.0901,0.00022400000000000002,0.0,0.225,0.27699999999999997,https://p.scdn.co/mp3-preview/7d18f31e49a4d46e94c5d6e79d0f218a657d285d?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27346c550081a2f5674e2cf608d
