,name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
10000,Você Vai Ver,0jwGxgupGo2ovlU5eonF9D,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10001,Jesus Is The One (I Got Depression),1YR9iNGXtsbrd8deR9ULDD,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10002,Hate My Life,5zcLnqZbAjDGXX7HNcT1rE,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10003,Mover Awayer,1yyIxshSIfW89EPTW0xkPH,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10004,Habits,3KkWGDCb6byHjNYjxBihGK,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10005,Need U Bad,0Ri0LzOMJmqi9HGZE5cRYV,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10006,Shattered (Turn The Car Around),0J3MfW6wwIBqC4zjp5AbQL,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10007,Holiday / Boulevard of Broken Dreams,0HJRAM7Gt9jXskuXjZeFX3,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10008,How To Love,1ZOROX1KhC9xipkXFCxeDf,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10009,Sanctified with Dynamite,2ZUUturolW3VpzXWzPEy2X,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10010,Coming In From The Cold,6lmLUNd7mcyYqKcg6EIAOu,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10011,Para Que Regreses,0EZ5c3oWdpWIaYHvifMqI2,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10012,Word Up!,1pHPpLVH2XEN0xYRoQs4wq,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10013,Ahora Quien - Salsa Version,5A32KQZznC2HSqr9qzTl2N,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10014,Vermilion,0fX9KPa0i9RGDI59gI90i9,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10015,Your Love Is King - Remastered,5EwNOL1CWnM74ptsVvW9OV,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10016,Everybody's Changing,5hkdfA87RZvNaxl6XiveOA,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10017,She Don't Use Jelly,1dJuteDIOkGfDSN7zPkzNv,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10018,Where Does the Good Go,0L7QCEXQBDAtEyK1x72Sw0,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10019,Sheep May Safely Graze,7wEql4SrP9nL5U4zxmcrVM,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10020,Blood and Thunder,3jagGO7eHHuaD53ibehkux,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10021,American Idiot,45zvStEMsXp8z45OQRhWFJ,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10022,La Loca,7mpz4Drmu692aPo4qsaHTC,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10023,ON SOME HIGH,7kizsInsKbkwsJUBOncDuQ,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10024,Crowded Table,5HuaHij4kVpfEVv93MYCeW,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10025,Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,66LhCsc06aTa2Ig7iYPDSP,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10026,Angel,2vO1wr5wIEHqQmY4jWbuhi,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10027,Que Bello,5Uj2IV4xxu8rAXKLbMXMTk,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10028,Rescue Story,0P0IfSuzTC6bLUsHjmDuvW,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10029,Vanished,0exOxvY3iHsmAnGHiJYAZq,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10030,Llegamos A La Disco,4nfn4q3ygnHhriDyYW6Fkf,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10031,"Amor, Amor de Mis Amores (with Devendra Banhart)",3dB42OEuVNiktvt3V5JRVI,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10032,Desnuda,5DRMxhUUiebOG9ruo5aLxj,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10033,Stay - Album Version (Edited),4zzzZ1UNfr75ASG1lUE9L1,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10034,No Sigue Modas Aka Ella No Sigue Modas,5fwFQ9hooBZoxdboAHo99Y,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10035,While You See A Chance,4JAFyW6oZV6DIADeV619QG,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10036,Re-Education (Through Labor),6c1Bdvp208X0jbLmFnWbkC,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
10037,Never Gonna Be Alone,7aySoZnwt7c6lA54qVVUOk,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
