,name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
30000,What It Takes,2fAYTT9kcUm8tnUrhD80sC,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30001,Out for a Rip,3GTUXYB1x0Md6ceQGfDRXC,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30002,Be Your Girl,4AOUkAWdXPucnYe6GYdZjk,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30003,Baby's Got Sauce,7MXK7DwU1DpGFTA31AZW6S,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30004,Grapevine Fires,1x3bxSSANgIxkoyGldhmdX,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30005,No Tears,6kYTywTCfycHZcH0WdLyRy,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30006,Age Ain't Nothing But a Number,2hMk3VNicbCoV8I81m7Z3q,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30007,Amigas Cheetahs,2vC1qUcTJlWO9JQfcaOk9b,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30008,Pieces,7C0yPWHEwTPQ4xqOz96Aro,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30009,Jodye,375YEKrb4JSu03HPzwOFfJ,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30010,El Borrego,7hVGVarDgrC7FCOslZFcAo,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30011,Get Me Bodied,6fmeXejj4CNkAQ78yao7oE,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30012,Don't Hold the Wall,7I7EnQnVJH1uSJ0cSQKPuu,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30013,Feels Like Tonight,2tVCFmn2zKg2wGXS1TCIIA,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30014,"For the First Time in Forever - From ""Frozen""/Soundtrack Version",4iGIvHmNRzi8mkTFE1ksAZ,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30015,Pimp Of The Year,5f8KgDZ8aQKQii0U1qdRbC,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
30016,Blind Spots,6K8HUxHtrxGKUJxY6lEQy0,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
