,name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
20045,Fare Thee Well (Dink's Song),0YOOXnCJihgyluizqhAcrz,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20046,We're All To Blame,2cYoayTRed9m3scuQzKq8Z,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20047,Chuper Amigos,6h8oQHda1vXeex187OLud3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20048,Meeting in My Bedroom,3Ypnlj9KYSif4Elk7EeHgt,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20049,Jigga What / Faint,4pnFRnCOfaETea25g0YSvG,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20050,リライト,3rb5K4Cw0GsLsgjcSYAP9K,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20051,Chinese Democracy,0zoK1L5JxJbyk7T2nw367B,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20052,Awake,0DrhapFEF5d9Yzg4v914dp,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20053,Pasarela,4yORNsoYe4XnK99EXhKhWB,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20054,Doing Time,4OyfdJiHM6sbfkFmRLrygg,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20055,Million Miles An Hour,76gvSn83c2iOIxV9GQkpZS,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20056,You Are My Lady,5MPxgVGxq79wcoNKtlRaTf,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20057,Sweater Weather - Spotify Sessions Curated by Jim Eno,7sDzAu7alAL1hWvL86tSGB,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20058,Bailamos,2bbeNsFmjZqdoDhjLsKNWe,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20059,Kiss Off,0Jf9d1BEYPcxK8NwGj194O,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20060,Straight From The Heart,5eaK7PLGwyDXmHfTdWZZuE,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20061,Kahit Maputi Na Ang Buhok Ko,7Lq3Lv6khoDcAyjGnwsg9F,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20062,Wild World,3vYrrMpsebx3OJ1H5E1lWQ,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20063,Think I'm In Love,6mJQe0vTIojlxwyMwwy6YR,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
