,name,spotify_id,popularity
0,Mr. Jones,5DiXcVovI0FcY2s0icWWUu,76
1,Gin N Juice (feat. Dat Nigga Daz),7sPt2cfrg7DrVP52zfvS1i,73
2,Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,75
3,C.R.E.A.M.,119c93MHjrDLJTApCVGpvx,73
4,Atlantic City,4JwjzS9WFkWlpzGCwh82fn,66
5,Fade Into You,1LzNfuep1bnAUR9skqdHCK,71
6,Linger,0gEyKnHvgkrkBM6fbeHdwK,75
7,You Know How We Do It - Remastered,2Ih217RCGAmyQR68Nn7Cqo,72
8,Keep Ya Head Up,0XRbYXQUymj9SJkrr8YK5B,71
9,Dreams,4JGKZS7h4Qa16gOU3oNETV,73
10,She Don't Know She's Beautiful,2oyS4THTUzUxT2lnHGzzIr,65
11,Somewhere Over The Rainbow_What A Wonderful World,25U7raB3ZSszayTYClh4hF,70
12,Cherub Rock - Remastered 2011,3ow0TQVttXQF8rLckmXgRx,64
13,Sober,6DyywdbmTzlmXBzG9ym7Rt,67
14,I Get Around,4voEoczU7Ijborps9XF1n3,69
15,Insane in the Brain,1oTHteQbmJw15rPxPVXUTv,71
16,Who Am I (What's My Name)?,12CdB878c6n94tTlNfPcCv,70
17,Far Behind,3mhOmh4tRKsMfnRmgZfeBm,65
18,What's Love Got to Do with It,4kOfxxnW1ukZdsNbCKY9br,74
19,Shoop,0Pu71wxadDlB8fJXfjIjeJ,68
20,Today - Remastered,0u5aO1GYsIhAWCPuXdwnak,63
21,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",3bA5Xfk5JyPGtBh00GX8Gk,66
22,All Apologies,1Ic9pKxGSJGM0LKeqf6lGe,68
23,Knockin' da Boots,6x53SJOV1PAZ8ZUwH4NFXQ,62
24,Ghostbusters,569uHYIB0X324FZOBEhvit,66
25,Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,73
26,Disarm - Remastered,6YIggUJW3ttAAPRdnki8RM,62
27,The Sign,0hrBpAOgrt8RXigk83LLNE,69
28,93 'Til Infinity,0PV1TFUMTBrDETzW6KQulB,68
29,Daughter (Remastered),53eJFr4Mfbw5PXJ01K6cFw,68
30,All I Wanna Do,3ZpQiJ78LKINrW9SQTgbXd,67
31,Wu-Tang Clan Ain't Nuthing ta F' Wit,24vNw0Z0srb4zYXwrakw8E,66
32,"What Is Love - 7"" Mix",2IHaGyfxNoFPLJnaEg4GTs,67
33,Protect Ya Neck,1Sgj10byiGzPpI2IrXSFEn,65
34,Cryin',0NJC0FDCODpPUntRTTQq97,71
35,Hip Hop Hooray,1w29UTa5uUvIri2tWtZ12Y,66
