,name,spotify_id,popularity
0,All of Me,3U4isOIWM3VvDubwSI3y7a,85
1,Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,77
2,Let Her Go,0JmiBCpWc1IAc0et7Xm7FL,76
3,All I Want,0NlGoUyOJSuSHmngoibVAs,82
4,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,74
5,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,83
6,Out of My League,2AYEOC02WLhUiOoaig2SEH,73
7,Play It Again,03fT3OHB9KyMtGMt2zwqCT,74
8,3005,2ZltjIqztEpZtafc8w0I9t,76
9,Pompeii,3gbBpTdY8lnQwqxNCcf795,71
10,Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,82
11,Ribs,0TEekvXTomKt3hdXDZxxeW,75
12,Break from Toronto,79MSEdtXuudhGhC5AtG07g,74
13,Still into You,1yjY7rpaAQvKwpdUliHx0d,76
14,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",4X5f3vT8MRuXF68pfjNte5,76
15,i was all over her,7svpAkwc6xaSxlbZ7V7JiS,75
16,New Flesh,6TEiFwaiHERpdfG6WnGed1,74
17,Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb,78
18,We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,79
19,Cocoa Butter Kisses,0aMHIW1lqrulVCx0LLlr6a,72
20,"Hold On, We're Going Home",2aSC2xhRxOLiiZZVjhbylH,70
21,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,80
22,Hail to the King,5anCkDvJ17aznvK5TED5uo,75
23,"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,74
24,It Won't Stop (feat. Chris Brown) - EP Version,2xRYnHQdLD9ketvC01UYYT,75
25,This Is How We Roll,2TR7A4ulH9R1PNwMyd8o8U,69
26,Oceans (Where Feet May Fail),5Mw9bXG1dLNhbjofkVS2oR,69
27,Young And Beautiful,2nMeu6UenVvwUktBCpLMK9,77
28,Royals,2dLLR6qlu5UJ5gk0dKz0h3,76
29,IV. Sweatpants,00GOPLxW4PGQuUYdPJh8K1,72
30,That's My Kind Of Night,5HGibWoxnkYSkl6mHmAlOE,70
31,Rap God,6or1bKJiZ06IlK0vFvY75k,77
32,Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,73
33,HeadBand (feat. 2 Chainz),2LvRR121MWFmmEGkuV2vQP,71
34,Renee,5MeUMSRreLHYLhw8ZTyqpk,75
35,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,73
36,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,77
37,You & I,2afCBiru10AFckfOa49wIa,78
38,Always Forever,2enPRFda84VE2wtI8c86Uf,72
39,Mirrors,4rHZZAmHpZrA3iH5zx8frV,77
40,Best Song Ever,5T7ZFtCcOgkpjxcuaeZbw0,77
41,Wasting All These Tears,25zXRQGuwYZdIp88fVZOPC,68
42,Trumpets,5KONnBIQ9LqCxyeSPin26k,67
43,Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy,70
44,Black Skinhead,722tgOgdIbNe3BEyLnejw4,74
45,From Time,0GaBIpyHvytM1UBYmqXu08,67
