,name,spotify_id,popularity
0,Drops of Jupiter (Tell Me),2hKdd3qO7cWr2Jo0Bcs0MA,78
1,Island In The Sun,2MLHyLy5z5l5YRp7momlgw,76
2,Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,80
3,Chop Suey!,2DlHlPMa4M17kufBvI2lEN,79
4,Clint Eastwood,7yMiX7n9SBvadzox8T5jzT,69
5,How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,78
6,Your Body Is a Wonderland,7vFv0yFGMJW3qVXbAd9BK9,77
7,It's Been Awhile,25CMmGsl22APKhfuj4Tp7j,67
8,Bodies,7CpbhqKUedOIrcvc94p60Y,73
9,Picture (feat. Sheryl Crow),69j0KoPJuwpnbGWrfn7Yll,69
10,Toxicity,0snQkGI5qnAmohLE7jTsTn,77
11,Crazy Rap (Colt 45 & 2 Zig Zags),1ACZpHI5vZ5Ea4xGlkdGWM,71
12,Don't Stop Believin',77NNZQSqzLNqh2A9JhLRkg,75
13,Click Click Boom,2CGDxXXYbkPOyRXHzQbqkT,70
14,In Too Deep,1HNE2PX70ztbEl6MLxrpNL,74
15,Fat Lip,4KacUpvbA3Mfo05gttTjhN,73
16,First Date,1fJFuvU2ldmeAm5nFIHcPP,73
17,I Want It That Way,6e40mgJiCid5HRAGrbpGA6,76
18,Blurry,6lSr3iZTC144PKhvbPFzMp,66
19,New Slang,2cP37n7TZEe0oBxCbZu0KA,71
20,Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,74
21,I Can Only Imagine,0lVYRIVjK77Z6uG2GgM8Kl,66
22,What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,73
23,She Hates Me,16DhvbuyvJob4Q9GHNYu2n,70
24,Differences,0Uyh92tLyb9JawG8lmWCzJ,69
25,Ol' Red,5wane5dFpp8xgriui6y0c7,66
26,U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,73
27,U Got It Bad,7J41dYQolQJEtj3UmKLu5r,70
28,Aerials,4e9eGQYsOiBcftrWXwsVco,74
29,Last Nite,3SUusuA9jH1v6PVwtYMbdv,64
30,Sweetness,429IbFR4yp2J81CeTwF5iY,67
31,Someday,7hm4HTk9encxT0LYC0J6oI,64
32,One More Time,0DiWol3AO6WpXZgp0goxAV,75
33,Always On Time,4hrae8atte6cRlSC9a7VCO,73
34,Youth of the Nation,0UrWr7Jnu1heq1o99ZwUd0,70
35,Fallin',3unsLiH5FXmaDWtT5Imolu,73
36,Wherever You Will Go,5QpaGzWp0hwB5faV8dkbAz,73
37,Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,72
38,Schism,55mJleti2WfWEFNFcBduhc,68
39,Wish You Were Here,6KtLECDztnah63TNmV4Plw,68
40,"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,74
