,name,spotify_id,popularity
0,Basket Case,6L89mwZXSOwYl76YXfX13s,79
1,Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,76
2,Zombie,2IZZqH4K02UIYg5EohpNHF,80
3,Dust On The Bottle,0Xg68XXMRWzKQvD5S6BFvI,70
4,Juicy - 2005 Remaster,5ByAIlEEnxYdvpnezg7HTX,76
5,Big Poppa - 2005 Remaster,2g8HN35AnVGIk7B8yMucww,75
6,Regulate,7nYvUtkQMx1v80S2FH2s9J,74
7,Wildflowers,2Pr1nZpt8A8WP7QYpyq6L3,71
8,Buddy Holly,3mwvKOyMmG77zZRunnxp9E,72
9,When I Come Around,1Dr1fXbc2IxaK1Mu8P8Khz,74
10,Loser,5PntSbMHC1ud6Vvl8x56qd,69
11,Interstate Love Song - 2019 Remaster,6qLEOZvf5gI7kWE63JE7p3,72
12,Only Wanna Be with You,1OFKUn2VLafrHj7ybnap0Q,69
13,Sabotage,0Puj4YlTm6xNzDDADXHMI9,72
14,Waterfalls,6qspW4YKycviDFjHBOaqUY,72
15,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,74
16,You Don't Know How It Feels,7MooGz4ZPE4bNxjFegR6Jx,66
17,Watermelon Crawl,3Q9t1A12iUemHTAWnH7PjD,65
18,"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",0qxtQ8rf3W1nId3D2r0xH4,69
19,Shine,6emdJW80SbDBMuHci8PJJn,68
20,"Hakuna Matata - From ""The Lion King""/Soundtrack",5k3U0OGYBccHdKJJu3HrUN,69
21,Closer,2oDqmfa2g8W893LlwJG1qu,65
22,Creep,1aWV3uY3SIEZVbmv45oFWS,67
23,The Man Who Sold The World,15VRO9CQwMpbqUYA7e6Hwg,73
24,Nutshell,2JuasWPUodaUxf5nwNpciQ,69
25,Spoonman,1jMaB19DiVR8OihLSuYFOt,68
26,Thuggish Ruggish Bone,7qHAjAL7CpadaZLamuBZRm,64
27,When You Say Nothing At All,46LI9mnlQ8fJHH47ioBubg,65
28,Ants Marching,2FfZg072w8RoxlMOR7M4CT,63
29,Possum Kingdom,56SkdBKyR2zOkjk6wVFI9s,63
30,Indian Outlaw,1fYypIR0kaFzaSRbzvtjl9,63
31,Lightning Crashes,48iWbsOaBUAGzMdoSmqyg1,66
32,Run-Around,500Tkm3vJmVtdUwdCVxCTb,63
33,"Circle of Life - From ""The Lion King""/ Soundtrack",0HU5JnVaKNTWf6GykV9Zn8,67
34,Let Her Cry,6NGi23FFKq9tH5NR1NcTw2,65
35,Hallelujah,3pRaLNL3b8x5uBOcsgvdqM,72
36,Check Yo Self - Remix,3NGT0Td7H4Is1qrlDQJxma,70
37,I'll Make Love To You,61sQYdFNS6sEBYCyr1q5gn,63
38,Undone - The Sweater Song,5WhtlIoxoZrMmuaWWEQhwV,64
39,Fell On Black Days,1wlKw9NAWVWpx7OIAyg9EA,66
40,Amor Prohibido,1kCewNSs909Xj1naXr36X8,69
41,This D.J.,2ImuQo1g14CTR9hZAZD3aQ,66
42,Longview,3LRJbFT9rKoKv4aW7PuBJC,67
43,"Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version",5E8yddtSG3sH4hw2SfwcgW,66
44,Welcome to Paradise,5kr3j5Clb9rjEposoMyLVt,67
45,Hold My Hand,4WnYuVFXe6Si4fZqkxbnvS,63
46,At Your Best (You Are Love),4lRrk574qIHpoEEKC1zuam,64
47,Kiss from a Rose,3YKptz29AsOlm7WAVnztBh,73
48,No Excuses,4PtZE0h5oyPhCtPjg3NeYQ,66
49,Who Shot Ya? - 2005 Remaster,2KFg8kjYy0rYjWsXGhEQHN,68
99,Hook,27IRo2rYeizhRMDaNVplNM,62
149,I Wanna Be Down,6N9uyMZf9pbNOuomveWscp,63
199,"Clair de Lune, L. 32",5u5aVJKjSMJr4zesMPz7bL,66
249,Don't Take The Girl,2wmEryA2YLaFwFvA63n3O2,60
299,Where Did You Sleep Last Night,551qy5vUgrUfEUc4dCNfht,68
349,Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,74
399,Gimme the Loot - 2005 Remaster,1xIxMz1sNQ4b6svH1GuTtF,65
449,N.Y. State of Mind,5zwz05jkQVT68CjUpPwFZe,66
499,Better Man,2B98ljvzqpCVgt5reTHq28,67
549,Just a Friend,3yNVfRQlUPViUh8O2V9SQn,62
599,"Baby, I Love Your Way",1Rvl8qsKJurfFTyWLBI9ib,69
649,Soulshine,7a014uMHF3nlqzXCxV551C,60
699,Smooth Operator - Single Version,1Hv1VTm8zeOeybub15mA2R,68
749,Lake Of Fire,4UJmPSJsBsIR1U0N79BU1g,66
799,Down On The Farm,65N3RYCN1DgfY0Zcv5k9kr,60
849,Foe Tha Love of $,1muLq1kBLWIT3pmNC2xl0g,60
899,Vasoline - 2019 Remaster,4fjsOdrWMaKf70x21h5XbX,62
949,I'll Stand by You,3Nf8oGn1okobzjDcFCvT6n,71
999,Feel the Pain,28c4nfBHdb3xviamRCEsIe,62
1049,On Bended Knee,7MYmo0JJJDmu4MZTSAF9y3,58
1099,Suicidal Thoughts - 2005 Remaster,00t7QTffOR3SA3L1BvSQVq,63
1149,My Name Is Jonas,4nzyOwogJuWn1s6QuGFZ6w,61
1199,Go Rest High On That Mountain,7C04W8ooqQD3vWKUSzeYnz,59
