,name,spotify_id,popularity
0,All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,79
1,All Star,3cfOd4CMv2snFaKAnMdnvK,79
2,Say My Name,7H6ev70Weq6DdpZyyTmUXk,77
3,Californication,48UPSzbZjgc449aqz8bxox,81
4,Still D.R.E.,503OTo2dSqe7qk76rgsbep,79
5,My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,71
6,I Want It That Way,47BBI51FKFwOMlIiX6m8ya,79
7,What's My Age Again?,4LJhJ6DQS7NwE7UKtvcM52,75
8,Forgot About Dre,7iXF2W9vKmDoGAhlHdpyIa,75
9,Drive,7nnWIPM5hwE3DaUBkvOIpy,74
10,Scar Tissue,1G391cbiT3v3Cywg8T7DM1,76
11,Otherside,64BbK9SFKH2jk86U3dGj2P,78
12,The Next Episode,4LwU4Vp6od3Sb08CsP99GC,75
13,She's so High,7mnGQesk1TzQLzQ9bYWZPR,72
14,...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,77
15,Break Stuff,5cZqsjVs6MevCnAkasbEOX,73
16,Pony,6mz1fBdKATx6qP4oP1I65G,71
17,Write This Down,1TanmIWbaUj5NVwJ3k4XPd,66
18,Learn to Fly,5OQsiBsky2k2kDKy2bX2eT,74
19,"Jumpin', Jumpin'",4pmc2AxSEq6g7hPVlJCPyP,70
20,Mambo No. 5 (a Little Bit of...),6x4tKaOzfNJpEJHySoiJcs,76
21,Cowboy Take Me Away,3rXCZRMiMZp0feGcYXpwYX,67
22,Pardon Me,1Y13csEpu3TK5gQdzGLrd8,68
23,Falling Away from Me,2F6FfZ4w8z3eJpSxPotVO5,70
24,Adam's Song,6xpDh0dXrkVp0Po1qrHUd8,70
25,Guerrilla Radio,1wsRitfRRtWyEapl0q22o8,70
26,Something Like That,6leiB1fEsTnVCuPiielde5,64
27,My Name Is,75IN3CtuZwTHTnZvYM4qnJ,71
28,Get Down On It,4yKZACkuudvfd600H2dQie,72
29,Genie In a Bottle,11mwFrKvLXCbcVGNxffGyP,72
30,Higher,1ZozJfi8u9cO2Ob8KwiwNT,68
31,With Arms Wide Open,0eKyHwckh9vQb8ncZ2DXCs,65
32,Butterfly,4BggEwLhGfrbrl7JBhC8EC,71
33,She Thinks My Tractor's Sexy,3QV7NYkrmV0Q0IHdFJw9hO,64
34,Mudshovel,6264zKFgXM13JuRBX4MMyD,65
35,Party Up,0LWkaEyQRkF0XAms8Bg1fC,70
36,I Try,5TAf4lnZCZTLlZHNZMLFLi,72
37,Amazed,6qc34bnVOyqGDPni8H5W0U,68
38,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",6kvnSiMBa65Nz29g2TYmyW,62
39,Never Let You Go - 2008 Remaster,1sxUaLi0G2vB7dl4ogtCxH,64
40,Smooth (feat. Rob Thomas),0n2SEXB2qoRQg171q7XqeW,69
41,Llorar,6phWt5bRbTh96gjxZcnH4c,68
42,Xxplosive,0Ed7MeXx64f6OcIuoTRCg1,68
43,Livin' la Vida Loca,0Ph6L4l8dYUuXFmb71Ajnd,72
44,Big Pimpin',7m97yKVzPpXV9Z4ezEziOD,66
45,When Worlds Collide,6aF5JtQSrh7wNrkDE9B0My,66
