,name,spotify_id,popularity
0,Teenagers,7j31rVgGX9Q2blT92VBEA0,77
1,Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,77
2,Face Down,4wzjNqjKAKDU82e8uMhzmr,75
3,Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,78
4,Promiscuous,47aQT2aV12TyilaoYi1NiD,71
5,Fergalicious,1D066zixBwqFYqBhKgdPzp,71
6,Animal I Have Become,56sk7jBpZV0CD31G9hEU3b,72
7,Smack That,2kQuhkFX7uSVepCD3h29g5,70
8,Crazy,2N5zMZX7YeL1tico8oQxa9,73
9,So Sick,6brl7bwOHmGFkNw3MBqssT,77
10,When You Were Young,70wYA8oYHoMzhRRkARoMhU,76
11,What Hurts The Most,4bVuIlGQBMWS7vIhcx8Ae4,70
12,Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,79
13,The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ,72
14,Life is a Highway,2Fs18NaCDuluPG1DHGw1XG,73
15,Dani California,10Nmj3JCNoMeBQ87uw5j8k,76
16,Slow Dancing in a Burning Room,2jdAk8ATWIL3dwT47XpRfu,75
17,SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,77
18,Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,74
19,Riot,1Q2fYlSdwuutWj3QplhY9q,70
20,The Power Of Love,2olVm1lHicpveMAo4AUDRB,77
21,Gravity,3SktMqZmo3M9zbB7oKMIF7,73
22,Watching You,5OusUgzHz6Ulb3GZT7WUo5,68
23,The Sweet Escape,66ZcOcouenzZEnzTJvoFmH,68
24,Glamorous,4KTtYhxFtFL7mBwnjkKfLm,67
25,Me & U,7k6IzwMGpxnRghE7YosnXT,73
26,Upside Down,6shRGWCtBUOPFLFTTqXZIC,67
27,Your Man,1WzAeadSKJhqykZFbJNmQv,71
28,I Wanna Love You,4xAk8Lw82G3YoVSOdVAsBx,69
29,Blue Bird,2XpV9sHBexcNrz0Gyf3l18,76
30,When I See U,4iuNZTcvT9diFySSzVsnVS,70
31,Big Girls Don't Cry (Personal),3Q4WeJmzxuDpzMu9QjQqbM,75
32,Crazy Bitch,5XfQTbialQHn9PhDb0p85H,68
33,This Is Halloween,01YROQCnF1AQm7SCWJmD2o,67
34,Smile,4aR9bPMAOFySBuQSbVWF3d,65
35,Everytime We Touch,1eOHw1k2AoluG4VyjBHLzX,66
36,Miss Murder,0Ti2dlF2xLjXblvdU5fCxM,70
37,International Harvester,0Ta3jOf8m9yCSWMVwd8Qlf,67
38,Never Too Late,3HE50TVRquwXe9yv2HFoNL,68
39,Snap Yo Fingers,6o3s08kk2fQI37vxGZDrJ1,68
40,Don't Matter,7I6DceMT3utDOHjcYCbrr4,66
41,Our Song,15DeqWWQB4dcEWzJg15VrN,65
42,It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,66
43,MakeDamnSure,6fx1fKIs5e0pBL5FpdC7RB,67
44,My Wish,6Gfmj0HbpvxTdW0sdlzTDU,66
45,Famous Last Words,2d6m2F4I7wCuAKtSsdhh83,71
46,Back To Black,30FURVTCpbKyykjSEQzGkH,72
47,Pain,5PZ2cqh9Yem2g6cTSOLllz,67
48,Through Glass,5NeIONQWJ25uPylJBJiO4c,72
49,My Love (feat. T.I.),4NeOWqHmlrGRuBvsLJC9rL,71
99,Shortie Like Mine,6oUGAx0vkBcnGzYkvw0ZsA,68
149,Caribou Lou,0I0wn4G67txQwENcmRH3d6,64
199,Prayer Of The Refugee,4OSbctVD37ycS0H3rwRm72,65
