,name,spotify_id,popularity
0,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,83
1,Don't You (Forget About Me),3fH4KjXFYMmljxrcGrbPj9,75
2,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,78
3,We Built This City,6OnfBiiSc9RGKiBKKtZXgQ,76
4,Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,76
5,Raspberry Beret,5jSz894ljfWE0IcHBSM39i,70
6,Your Love,5dRQUolXAVX3BbCiIxmSsf,70
7,Home Sweet Home,4zXvB4MoQD8onk0NCZbeHG,69
8,Highwayman,7jWbXvrgdbkajU8L28ahn5,69
9,Just the Two of Us (feat. Bill Withers),1ko2lVN0vKGUl9zrU0qSlT,71
10,Small Town,2HsjJJL4DhPCzMlnaGv7ap,66
11,You Spin Me Round (Like a Record),7uHO4AmKtyGa5v5fsElGoC,72
12,How Will I Know,5tdKaKLnC4SgtDZ6RlWeal,72
13,Money for Nothing,4yqtwO7MQIIXqoiRBPHAgR,63
14,Your Love,4oDZ5L8izBals6jKBJDBcX,72
15,Walk of Life,423o3ZHIaBtGXyhF1uH41a,62
16,Addicted To Love,5izGeTxueiFX1UPFGohY9w,68
17,Shout,2gQaQUhDCNGfBVXTvxAmXQ,71
18,Close to Me - 2006 Remaster,7ABE6G4uQxbNtYgVrpBBPA,60
19,St. Elmos Fire (Man in Motion),1A2PWRltFrX8iB8IP3CUgo,68
20,Broken Wings,78FHUZRbFDCG6VkRAQdFLm,70
21,Devuélveme a mi chica,1Wrzhfa5bNlqvsnCztz190,72
22,Sussudio - 2016 Remaster,4qM461TqtpnP4GLRIXwEnW,67
23,"Head Over Heels - Dave Bascombe 7"" N.Mix",5lwQGZYF4BXOzFtXc5zk8q,65
24,Dead Man's Party,2h47SG8bNphmicAll4H9RV,59
25,Running Up That Hill (A Deal With God) - 2018 Remaster,29d0nY7TzCoi22XBqDQkiP,58
26,R.O.C.K. In The U.S.A. (A Salute To 60's Rock),0lqfBvf1Gqmmt3l5Qeirlm,61
27,Baby's Got Her Blue Jeans On,56BG1hMSEkIN7IA2E4xNuN,58
28,Sergio el Bailador,3M7WBL64QOmuPiPjhySCJW,64
29,Road to Nowhere,5gS8whHdcpbkdz0qonQZF8,56
30,Computer Love,362zcsyXMLbL7PNLhOovvm,57
31,One More Night - 2016 Remaster,6fkvIT9KFKxO8poBeKfaEf,69
32,The Killing Moon,15049rGLXHwrWtE4euUb5C,63
33,Holding Back the Years - 2008 Remaster,1yg7fwwYmx9DQ2TdXUmfpJ,69
34,The Sweetest Taboo,0sKfhhj6hYyJIXnTiZV9vf,63
35,Rhythm Of The Night,5yGTQzYbEdY6B9RFZJypgt,64
