,name,spotify_id,popularity
0,You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,80
1,You Can Call Me Al,0qxYx4F3vm1AOnfux6dDxP,76
2,Wanted Dead Or Alive,0oerlffJSzhRVvtDfLcp3N,73
3,Take Me Home Tonight,7b4yGtR0rujvLi5EBfKKJ2,69
4,Master of Puppets (Remastered),54bm2e3tk8cliUz3VSdCPZ,67
5,Why Can't This Be Love,0TaT50ZZxT4ytZxuqkE3A9,70
6,Kiss,62LJFaYihsdVrrkgUOJC05,72
7,The Final Countdown,3MrRksHupTVEQ7YbA0FsZK,76
8,It's Tricky,6jBCehpNMkwFVF3dz4nLIW,69
9,Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,69
10,"Holding Out for a Hero - From ""Footloose"" Soundtrack",5Hyr47BBGpvOfcykSCcaw9,72
11,Don't Dream It's Over,7G7tgVYORlDuVprcYHuFJh,72
12,There Is a Light That Never Goes Out - 2011 Remaster,0WQiDwKJclirSYG9v5tayI,73
13,No Sleep Till Brooklyn,5qxChyzKLEyoPJ5qGrdurN,66
14,Walk This Way (feat. Aerosmith),6qUEOWqOzu1rLPUPQ1ECpx,70
15,Dreams,2APxH5XbOLDTmW9X5yi6Hw,66
16,Brass Monkey,2tY1gxCKslfXLFpFofYmJQ,63
17,(I Just) Died In Your Arms,4ByEFOBuLXpCqvO1kw8Wdm,73
18,Glory of Love,1eyq8cjUQ2daFthW2PC2GM,72
19,Raining Blood,01Mpj13vURSO3cCLprPt5T,62
20,You Shook Me All Night Long,6yl8Es1tCYD9WdSkeVLFw4,69
21,Push It,6sT9MWlJManry3EQwf4V80,66
22,"Guitars, Cadillacs",3HtCJiLV8GH87AViMtUKhO,62
23,Love Walks In,6FRQGRdhueJGTKiYnirDNy,64
24,The Lady In Red,1GeNWyZtCHbcp3ZWp8GTOO,74
25,Invisible Touch - 2007 Remaster,0xpBr84T3FTm9j4D1MdPtk,61
26,West End Girls - 2001 Remaster,7FlwylpJSe3ea6m1IrkizS,59
27,Higher Love,4ZExvJvQXPEeYzGU0N3THi,64
28,Manic Monday,00vYs0qZA40Z8AAaN7xmMO,59
29,The Way It Is,6V50MyHPGhEmwYu0Wdyf0t,69
30,Bizarre Love Triangle,6wVViUl2xSRoDK2T7dMZbR,66
31,Graceland,51KKQAgYFoJHgVIuJWHdHb,66
32,Keep Your Hands to Yourself,5tORtBzHUAnNrIw5Ql3kHZ,61
33,Hip To Be Square,648BMGrt98kUbLo24A4vgj,65
34,True Colors,2A6yzRGMgSQCUapR2ptm6A,70
35,Sledgehammer - 2012 Remaster,4AUS8KNz7zX8XFu9L38GT0,57
36,Diamonds on the Soles of Her Shoes,71GvlH0VdeClloLIkHrAVu,64
37,Paul Revere,3gKwVWwKmeuFtPubICbOGc,59
38,Take My Breath Away,50jEs9EZZgXJ1oDZVAv7Wp,58
39,Amanda,4gpext9x0CbdD9NWaa4nDj,64
40,Word Up,7LoGfKBAaOl0nxhodJ1240,64
41,Summer Nights,68qTWgabevPj41WbvHtKwY,60
42,Best of Both Worlds,5BNJqYUN3FI4krR901tdLd,60
43,Que Locura Enamorarme De Ti,1TMxv8sfUhU55AC6Ul1PU5,66
44,Back In The High Life Again,1Bj6YgjjPbEb4jhQ50T8tJ,59
45,Talk Dirty To Me,08QP0rwnQSbbpGRIuXfrAY,58
46,Battery (Remastered),7wz8LNfmGZ3C0PwKW9LdDg,57
47,Nobody's Fool,01Q4wU19hamqnhNjtuvTyI,60
48,Candy,0Aj8EagrPfDoOe5OlUdrLC,58
49,Guitar Town,62ZRHYSOIT9WeZnz18kTHS,58
99,Shot in the Dark,31dqpLUModJWNbxrXu6TWd,62
149,5150,6Xd3sEwne19qbUzxOrUl40,60
199,Stuck With You,2cFl7utlqyZjCXN1G5nRvA,64
249,Diggin' Up Bones,6JdbV5DDltMVCyV0twmKwj,58
299,Dancing On The Ceiling,0snPJPxkk0MbTc0xeUvAPt,69
349,"Say You, Say Me",17CPezzLWzvGfpZW6X8XT0,70
399,I'll Be Over You,1WeoeHh0TSzsApyJ6Q8OOK,69
449,Land of Confusion - 2007 Remaster,6twIBPybEvGydyNzNz89FT,57
499,Bigmouth Strikes Again - 2011 Remaster,2OErSh4oVVAUll0vHxdr6p,66
549,La Muralla Verde,1qvY1z3Wm3sAYeHfPTnrbI,71
599,Girls,5h40ovzXu7rF7Giwb9oXYy,58
649,The Great Pretender,2FkCjtQ1lYsf71s2FAS8hE,63
699,Welcome Home (Sanitarium) (Remastered),7LHZ7HA45ezKcdN8sBrBuS,56
