,name,spotify_id,popularity
0,Buy U a Drank (Shawty Snappin'),2aIdVb8v9KTpEZnftkz2mD,75
1,Stronger,4fzsfWzRhPawzqhX8Qt9F3,80
2,Misery Business,6SpLc7EXZIPpy0sVko0aoU,73
3,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,78
4,Paper Planes,1wgqttlPacpvmX5DKVboOa,77
5,No One,6IwKcFdiRQZOWeYNhUiWIv,80
6,"Dear Maria, Count Me In",0JJP0IS4w0fJx01EcrfkDe,75
7,Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,78
8,Fake It,4eAwB5pnKFTmsgc3zWoYO0,74
9,Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,77
10,Kids,1jJci4qxiYcOHhQR247rEU,78
11,Flashing Lights,31I3Rt1bPa2LrE74DdNizO,75
12,All Summer Long,5rX6C5QVvvZB7XckETNych,74
13,"Check Yes, Juliet",0wVluBsVAVzBKrqspuCcwR,72
14,Bubbly,0rFOs9paloAvEtzwDX1Kmc,70
15,Apologize,1NrJYpdAi7uosDRPmSYrsG,70
16,Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,75
17,Come On Get Higher,38YgZVHPWOWsKrsCXz6JyP,72
18,Love Song,4E6cwWJWZw2zWf7VFbH7wf,75
19,Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,77
20,Verbatim,266Vb7ItE3o1q8HdJ9QOvn,72
21,Paralyzer,28IEbk5a7twNTbUEvWslUb,70
22,Because Of You,6CFPFnS9EcLs2I0nWqtWci,77
23,X Gon' Give It To Ya,1zzxoZVylsna2BQB65Ppcb,76
24,Oh Ana,45i70K1PefHafKui2WxH0M,71
25,Let It Go,2RqZFOLOnzVmHUX7ZMcaES,68
26,Fluorescent Adolescent,7e8utCy2JlSB8dRHKi49xM,68
27,You,5Y77SQxEr1eiofPeUTPHxM,70
28,Good Life,14blxrgE0VWAgv5aF2wWmx,71
29,What I've Done,18lR4BzEs7e3qzc0KVkTpU,77
30,No Air (feat. Chris Brown),1jUA4rb6ZCv4gby4YU53xq,74
31,Can't Tell Me Nothing,2MIBAmYwiuGoKUlpq9B9sZ,72
32,Girlfriend,45hOioMDJktr86iKDHC8gr,75
33,Bartender,5kxddRG1RZaZROadk7iC4D,69
34,I Hate Everything About You,6rUp7v3l8yC4TKxAAR5Bmx,73
35,Shake It,5619Ojc6t9evEEs3B7Drhe,72
36,To Build A Home,3AqPL1n1wKc5DVFFnYuJhp,68
37,The Pretender,7x8dCjCr0x6x2lXKujYD34,76
38,The Way I Are,2bLqfJjuC5syrsgDsZfGmn,75
39,Time to Pretend,4iG2gAwKXsOcijVaVXzRPW,72
40,Homecoming,2ovQ5MCx91XVjgVWEPfvks,71
41,Umbrella,2yPoXCs7BSIUrucMdK5PzV,65
42,Edge of Seventeen,2id8E4WvczfKHB4LHI7Np3,71
43,Cyclone - Main,0x1LCpY9Rgeq97VPajm81B,65
44,Bleed It Out,0UFDKFqW2oGspYeYqo9wjA,73
45,I Wonder,4jQqM4NI79HEcWHUJb8Hvf,68
