,name,spotify_id,popularity
0,Summer Of '69,0GONea6G2XdnHWjNZd6zt3,82
1,Panama - 2015 Remaster,05RgAMGypEvqhNs5hPCbMS,77
2,The Boys Of Summer,4gvea7UlDkAvsJBPZAd4oB,76
3,Hot for Teacher - 2015 Remaster,6QDbGdbJ57Mtkflsg42WV5,73
4,Wake Me up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c,79
5,Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,77
6,Born in the U.S.A.,0dOg1ySSI7NkpAe89Zo0b9,75
7,Can't Fight This Feeling,5WwqdeavrQrbeAMDxGawse,74
8,I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,78
9,When Doves Cry,51H2y6YrNNXcy3dfc3qSbA,71
10,We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh,73
11,For Whom The Bell Tolls (Remastered),51YZAJhOwIC5Gg3jMbAmhZ,66
12,Purple Rain,54X78diSLoUDI3joC2bjMz,74
13,Rock You Like A Hurricane,58XWGx7KNNkKneHdprcprX,69
14,I'm On Fire,3PzsbWSQdLCKDLxn7YZfkM,74
15,This Charming Man - 2011 Remaster,1FvDJ9KGxcqwv1utyPL3JZ,73
16,"Footloose - From ""Footloose"" Soundtrack",2vz1CsL5WBsbpBcwgboTAw,71
17,You're the Inspiration - 2006 Remaster,36lkJSDyMEZoWTqtRj8Q8q,72
18,Round and Round,5B6Z7NwVqA7W3UFiqBdEJC,66
19,Radio Ga Ga - 2011 Mix,1HmzAZUvhQLhLo2z3ocpZI,63
20,I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,70
21,How Soon Is Now? - 2011 Remaster,1YrnDTqvcnUKxAIeXyaEmU,70
22,Heaven,7Ewz6bJ97vUqk5HdkvguFQ,76
23,Glory Days,2Y90nL1ohB4sgYELDs7uNx,69
24,I Want To Break Free - Remastered 2011,7h2yhVxcZOGyQdOwD4Hu8J,63
25,Easy Lover,5LYJ631w9ps5h9tdvac7yP,67
26,Fade To Black (Remastered),0dqGfCMAGyDgpUAgLNOjWd,62
27,Missing You,1Qrdlkgg9I4J7r3P4kZNwr,70
28,We Belong,665Jxlgi1HamPKbW1vwzx4,66
29,Oh Sherrie,4zEi4tr3lEhiAvTRxEzbEz,64
30,Runaway,0X1sqQ652p1sceKM2nJlIJ,69
31,I'll Wait - 2015 Remaster,2TIKWWCf6qAtVP6AGa7e9k,63
32,Relax,2K22nUTdyr48JDwI5t906t,71
33,Drop Dead Legs - 2015 Remaster,49KoX0qpXf3wHyP9nfUaqq,63
34,Forever Young,4S1VYqwfkLit9mKVY3MXoo,73
35,I Can't Drive 55,1MqGKtY9L5qjPi8s7gX645,60
36,Cruel Summer,2EGaDf0cPX789H3LNeB03D,65
37,Drive,3wfujdbamR3Z46F4xav7LM,69
38,Let's Go Crazy,0QeI79sp1vS8L3JgpEO7mD,62
39,Like a Virgin,1ZPlNanZsJSPK5h9YZZFbZ,71
40,Back on the Chain Gang - 2007 Remaster,4cMHCRLPNoEbpnl2rz6GS9,66
41,Everything She Wants,5hXEcqQhEjfZdbIZLO8mf2,64
42,It's My Life - 1997 Remaster,4jhsuQCUCJKA5f0bXb6XdJ,69
43,Drive - 2017 Remaster,2lFFiNm0XtgJ6wkdncTB4k,68
44,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,63
45,Top Jimmy - 2015 Remaster,4H5QdHS8T7Qq4WgzFkYu5Q,61
46,Hold Me Now,0BJU4rYOfj43xHw6gvTIwE,57
47,This Night Has Opened My Eyes - 2011 Remaster,69Kzq3FMkDwiSFBQzRckFD,62
48,I Would Die 4 U,6fBwVe6udYdnRqwqo06if8,60
49,La Banda Del Carro Rojo,6WDwbOSL8PGwokjxxZ7FDG,63
99,Yo Te Necesito,7yMWuJ6JOZ8Joo5gQrNaYA,62
149,You Might Think,35wVRTJlUu2kDkqXFegOKt,60
199,Heaven's On Fire,1brpdmqkx3kSxyqzqXfW7J,66
249,Little Wing,5XNpdKmlLJPUbwKQceX2tW,61
299,Turn up the Radio,7u0b4DthVvd2F2EzCiOx0Z,58
349,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",6BrMEbPSSj55nQhkgf6DnE,65
399,Smalltown Boy,5vmRQ3zELMLUQPo2FLQ76x,71
449,I Feel for You,5yR9u8QiOt8hJaddv32oo7,61
499,Hallelujah,7yzbimr8WVyAtBX3Eg6UL9,67
549,2 Minutes to Midnight - 2015 Remaster,4sAjWbPq6iSI6I0Ovr9CkY,54
599,Run To You,2RWFncSWZEhSRRifqiDNVV,65
649,Amor Eterno,2TC4v9YiuQYk3Tk8RH7fV4,64
699,Creeping Death (Remastered),4q9QVIaLqjbcoqeCfM2zan,55
749,The Killing Moon,0cOf4csnt4DeXSkFmBjULw,53
799,Jungle Love,0QUpBXTOdB4JJyTGFN6dH1,55
849,The Fireman,5CwZU4BVFX0dyqG1gKfHHr,55
899,You Might Think,7BvuV4c1BGhaRapcXvRu5z,58
949,Pressure Drop,7cfILJJHW9ZSkbM2ywLhiN,53
999,Your Love Is King,1j2LuIf7mv15ZVug1Xy5qz,64
1049,The Warrior (feat. Patty Smyth),2hQnLzly0jRPpLPp23sA4i,57
1099,Self Control,6JNJERZGJwDVgkmbohBw7u,71
1149,Hard Habit to Break - 2006 Remaster,3Tows9RnoAq9CmMJaII2cO,60
1199,Foolish Heart,4mxkQkZSX1BWgIYh5Q2Jt9,62
1249,All She Wants To Do Is Dance,4yCRCEAfCMRyqCpBSd0qDp,56
1299,Pride (In The Name Of Love) - Remastered 2009,3dh2LlmeMqKJbzn2WUgt3d,58
1349,Ride The Lightning (Remastered),36DLF96pjKydN0MZtsahQz,53
1399,Why Not Me,6BkK5Dsu1kTne7Cn6EyYex,56
1449,High on You,0kly0FygSDXVbvbXxsZ31S,54
1499,What's Love Got to Do with It - 2015 Remaster,3ErsOxqe2RmXkR65wkygDz,64
1549,1984 - 2015 Remaster,43nVoP1xPa5fbmAwxeN5fY,57
1599,Seven Spanish Angels (with Ray Charles),51EKPuV1uAWryjNMqZLtgJ,57
1649,I Want To Break Free - Remastered 2011,6NAEpcvbmNdT0cWP3LFDcY,53
1699,The Search Is Over,1M3xrSPzPcKkCnXGHFPKaw,56
1749,Through the Fire,7gh2v4IHnxdiwSgA6xluhe,60
1799,Déjame Vivir (with Juan Gabriel),3ic95qCcp0njJNb3mJTZaP,63
1849,Cool It Now,5LkcAjqj5NOctNGi2qUjlw,52
1899,Fight Fire With Fire (Remastered),0WSRrGVg1gO33MKIBPgBV2,52
1949,Mama He's Crazy,2mEAWmVDub6PSF8pZXInrS,53
1999,Jailbreak,5UKeFkVeUfvP6S43I8s9mt,62
2049,Contrabando Y Traición,4gRi0itWso2UodoRMP5asJ,58
2099,Aces High - 2015 Remaster,6wNF6hphTxhUiAmQG3uzbf,51
2149,"Rasputin - 7"" Version",67hbP9PFQZrb4XZc3TzB0s,61
2199,Alone Again,1j06ieEC2BOCM0fTmYhn2l,57
2249,The Last in Line,6LUGAFpbYVek4rRY0G9dV0,52
2299,Radio Ga Ga,2jAc9KIQ9XoZxkydXh3MVh,52
2349,The Glamorous Life,179SfVFJ0ZN41toTxnpgRD,53
2399,Heaven Knows I'm Miserable Now - 2011 Remaster,1xaTREM89RbIxkcjlpf4Uw,59
2449,Androgynous,3fnL2JDgy4QD04araOl0eY,55
2499,Mr. Telephone Man,4DiNls6kFmF1ZittKsPsTc,51
2549,Pedro Y Pablo,5XgIkYlSVby03NmqREd5Sf,60
2599,Jam On It,1lB2kyB5h9ceZ388GBfC9L,51
2649,Perfect Strangers,2JhJOPGvtqMpj5RQC8cIYf,65
2699,People Are People - 2006 Remaster,3GREm6zSHwKZsJxl0hqbAQ,52
2749,I Wanna Be Somebody,6w8dBm5KlXxWejYrbGS1EJ,60
2799,Bang Your Head (Metal Health),7kFMBTOVe1fBGI5PefWyY5,53
2849,For Whom The Bell Tolls (Remastered),17rf2oZYDVymJeYI9ftDXc,51
2899,Curious,7KgneETGBycWbmIfK2fagH,50
2949,Voodoo Child (Slight Return),1kY6OOTBmRNzhYmu9xSH3a,54
2999,Roll On (Eighteen Wheeler),31LOzuiEqzfMZ6f8nujDVd,51
3049,I Can't Hold Back,46NtQJH1eok28bucLlHqQT,52
3099,Still Loving You,7kjsCbksOZotNNHOvKsJJh,60
3149,Girl Gone Bad - 2015 Remaster,7ytUUv11hwMJqZLaLK20Zq,54
3199,Cocaine Carolina,35kvOewUqIxHMf8Djyk4IC,50
3249,"Hungarian Dance No. 5 in G Minor, WoO 1 No. 5 (Orch. Schmeling)",2oLjhx7w8Hyd3gry9cCXr7,61
3299,Forever Young - 2019 Remaster,6XHNIbru8xGohLzHNgxQvF,65
3349,My Hometown,6dahFmHrgncgVJjsI1ws7e,61
3399,The Beautiful Ones,1BNtFSws7fjbn9aVBPA79j,52
3499,Darling Nikki,0khi86hc79RfsRC0rrkkA2,52
3549,Presiento Que Voy A Llorar,0gYnWBpArbOOokGLDDhzyG,55
3649,House of Pain - 2015 Remaster,6fYlvN1IlHi3cSY3tyZH1T,53
3699,Dear Prudence,34tFidHrETMAjsiK87WVVW,56
3749,Florida Rain Storm,62xwABwM3hRKvj1AoNe5qT,52
3799,"Let's Hear It for the Boy - From ""Footloose"" Soundtrack",5kaF88lat4fWUiDXP6G48M,55
3849,Minor Threat,6yIaRcvzhIrukxS4VVhil0,52
3899,Suddenly,65h7Qhxl2WfW31Bl6sjWAI,59
3949,Cover Me,4U7NhC2rQTAhH7dw7H0goB,55
3999,The Ghost In You,04BQXS1HwzNpfZ2Wvw2RIy,52
4099,Necesito Una Compañera,3C774e6E4KmqSFHk1b4GNY,54
4149,Lorelei,1MwGbyzRmPXWABLIdW8tzG,54
4199,Un Buen Perdedor,6SveL3Sk9ObjoAZ7tPexnl,62
4249,Tin Pan Alley (AKA Roughest Place in Town),7zto61V8ySp03Qi6X1LU2X,56
4299,Palabras Tristes,57xX3bw17BSVUu5WXGwoNw,55
4349,Decisiones,2BOcua9pjhKuVtgN40AAHX,60
4399,Baby I'm a Star,2soBvUQBf5rbMj9HIyhzzK,51
4449,99 Red Balloons,7p8HVe22aGW1XtO1hoDHGo,52
4499,Amante Bandido,1hj6nYHeGclSY0VNTHMi27,63
4599,Fresh,1mMYaXpT65iZDtvfRA9EkE,61
4649,Take Me with U,765k9tDIFOnoOfkO2cgitB,51
4749,Dust in the Wind,4E0lSJ6c5unoku9UIZoJSl,58
4799,Perhaps Love,1XeCCcv0C9vD6Z8P9E8uhG,60
4849,World-A-Reggae,70idjVtmzhvE1tXgHYEF2y,57
