,name,spotify_id,popularity
0,Roses - Imanbek Remix,2Wo6QQD1KMDWeFkkjLqwx5,82
1,The Box,0nbXyq5TXYPCO7pr3N8S4I,89
2,Circles,21jGcNKet2qwijlDFuPiPb,89
3,Robbery,6Hj9jySrnFppAI0sEMCZpJ,88
4,Breaking Me,3H7ihDc1dqLriiWXwsc2po,93
5,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,86
6,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,86
7,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,88
8,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,90
9,Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,88
10,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,84
11,ROXANNE,696DnlkuDOXcMAnKlTgXXK,87
12,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,84
13,If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,86
14,Adore You,3jjujdWJ72nww5eGnfs2E7,87
15,Falling,1ZMiCix7XSAbfAJlEZWMCp,87
16,Star Shopping,30bqVoKjX479ab90a8Pafp,85
17,High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm,82
18,Sofia,7B3z0ySL9Rr0XvZEAjWZzM,83
19,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,83
20,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,84
21,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,87
22,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,82
23,Dior,79s5XnCN4TJKTVMSmOx8Ep,86
24,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,90
25,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,90
26,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,85
27,feel something,7JDWhC422Gtk1Bq0mL3OTC,85
28,bad guy,2Fxmhks0bxGSBdJ92vM42m,88
29,Before You Go,7ce20yLkzuXXLUhzIDoZih,87
30,when the party's over,43zdsphuZLzwA9k4DJhU0I,85
31,Wow.,7xQAfvXzm3AkraOtGPWIZg,83
32,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,82
33,Say So,3Dv1eDb0MEgF93GpLXlucZ,87
34,Memories,2b8fOow8UzyDFAE27YhOZM,89
35,F.N,0RLLvYBopDwooCyvnTwgYu,81
36,Truth Hurts,3HWzoMvoF3TQfYg4UPszDq,79
37,Got What I Got,4TCc369aRPRubv1m8R1TBG,77
38,OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw,84
39,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,82
40,Ransom,1lOe9qE0vR9zwWQAOk6CoO,83
41,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,81
42,Empty,41MCdlvXOl62B7Kv86Bb1v,80
43,Suge,2gwkD6igEhQbDQegRCcdoB,79
44,Supalonely,4nK5YrxbMGZstTLbvj6Gxw,86
45,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,81
46,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2gTdDMpNxIRFSiu7HutMCg,81
47,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,78
48,Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,82
49,Better Together,6gdLyYNuhWBzqwlOFSsXC7,77
99,One Man Band,7cA3PnUQDlUyBBwpRozQeo,77
149,The Bones,7yFhA2fUsL2oIMWlw5DaHQ,78
