,name,spotify_id,popularity
0,Classic,6FE2iI43OZnszFLuLtvvmg,79
1,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,78
2,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,82
3,Demons,3LlAyCYU26dvFZBDUIMb7a,73
4,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,82
5,Love Sosa,4IowQDUOzUvNtp72HMDcKO,73
6,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,73
7,Payphone,1LmN9SSHISbtp9LoaR5ZVJ,74
8,What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,82
9,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,72
10,Radioactive,4G8gkOterJn0Ywt6uhqbhp,72
11,Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,72
12,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,71
13,Cruise,0i5el041vd6nxrGEU8QRxy,72
14,Lost,3GZD6HmiNUhxXYf8Gch723,71
15,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,81
16,Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,78
17,Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,81
18,Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,71
19,Some Nights,6t6oULCRS6hnI7rm0h5gwl,71
20,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,76
21,Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,69
22,Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,69
23,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,78
24,Hard To Love,6E9V9TRlVOLjenGjHemzEH,70
25,Die Young,7EQGXaVSyEDsCWKmUcfpLk,76
26,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,78
27,Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,70
28,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,72
29,Glad You Came,3AGOgQzp0YcPH41u9p7dOp,69
30,I Will Wait,0hm8rgOY17z7kQJlqGKbu7,69
31,My Kind of Woman,2OFrAsP5Vrcb0DtsPNsm54,73
32,Clarity,60wwxj6Dd9NJlirf84wr2c,74
33,They Don't Know About Us,6M31fPFCYB8Job3MCjjrDV,78
34,Freaking Out the Neighborhood,25SJaCCPiosugnlY53VhRG,73
35,Mercy,4qikXelSRKvoCqFcHLB2H2,72
36,Oblivion,4P6n0udLAnmCNXVcobYbsK,67
37,All Night Longer,1vNn7rVQT6UtEW1NGH53fT,67
38,All Too Well,1q3RiD1tIWUpGsNFADMlvl,68
39,Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,68
40,Take a Walk,4Sfa7hdVkqlM8UW5LsSY3F,70
41,Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,76
42,Ayy Ladies (feat. Tyga),4P6BuLsqtg5uISdE77ypI9,69
43,It's Time,6BtmXhTJMM9sBTHeYYASGz,67
44,Wicked Games,6VwBbL8CzPiC4QV66ay7oR,73
45,Somethin' 'Bout A Truck,6Ymvlzom4TQeoKqAWsZRD8,68
46,King For A Day,1IT0WQk5J8NsaeII8ktdlZ,70
47,Drive By,0KAiuUOrLTIkzkpfpn9jb9,75
48,Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,72
49,Girl on Fire,4esOae7i4rqTbAu9o5Pxco,76
99,Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,67
149,Little Things,0TAmnCzOtqRfvA38DDLTjj,78
199,m.A.A.d city,439TlnnznSiBbQbgXiBqAd,67
249,Hate Bein' Sober,3SuzCeGoNOWmbWOoDMou0B,67
299,Treasure,55h7vJchibLdUkxdlX3fK7,76
349,Want U Back,6E11E0lT5Zy7yb6iT3y8DN,67
