,name,spotify_id,popularity
0,"Take Me Home, Country Roads",39q7xibBdRboeMKUbZEB6g,77
1,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,77
2,Hypnotize - 2014 Remaster,7KwZNVEaqikRSBSpyhXK2j,76
3,Good Riddance (Time of Your Life),6ORqU0bHbVCRjXm9AjyHyZ,75
4,Bitter Sweet Symphony,57iDDD9N9tTWe75x6qhStw,78
5,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,73
6,"Danger Zone - From ""Top Gun"" Original Soundtrack",34x6hEJgGAOQvmlMql5Ige,72
7,I'll Be,5K7AMlpc4796JRWXb26nCV,71
8,Jumper - 1998 Edit,3354J49VpkbZJho7Ztdzpw,67
9,Man! I Feel Like A Woman!,6sxptembJVty4sNtcPMAVz,72
10,Kiss Me,754kgU5rWscRTfvlsuEwFp,76
11,Footloose,6W2VbtvMrDXm5vYeB7amkO,70
12,Just To See You Smile,2op0kDNARK2VHWHntEeH4g,66
13,Carrying Your Love With Me,7puxIVNdj5nsBJk43zM3bH,65
14,Sex & Candy,5mkGfmJGFZpwK9nA5amOhv,67
15,Where The Green Grass Grows,0nDjzA4kns1QOWPXuOn6Xw,65
16,Dammit,6WkSUgo1VdpzgtiXKlFPcY,65
17,You're Still The One,1wb4P4F0sxAQ2KXrRvsx6n,75
18,All My Life,5GorFaKkP2mLREQvhSblIg,70
19,Flagpole Sitta,7cz70nyRXlCJOE85whEkgU,63
20,Karma Police,3SVAN3BRByDmHOhKyIDxfC,74
21,How's It Going to Be,3Uvx1TO0Kg5HgGPk58lHXv,65
22,All For You,2skmOCFU64Bg7Ytkgwliwe,64
23,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,75
24,My Hero,4dVbhS6OiYvFikshyaQaCN,70
25,Fly,3uPfVXcjnpOjyzI3jb3js4,65
26,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",31H6au3jhblhr6MMJiXnCq,74
27,Shimmer,74KI6d8jEM2zwOAo3luayU,62
28,Gettin' Jiggy Wit It,0weAUscowxeqDtpCgtbpgp,70
29,"My Heart Will Go On - Love Theme from ""Titanic""",33LC84JgLvK2KuW43MfaNq,75
30,Truly Madly Deeply,013AWvizllIUEC2FOBzOnh,74
31,My Own Summer (Shove It),1158ckiB5S4cpsdYHDB9IF,68
32,Harness Your Hopes - (B-side),4tggZyGJMNJMooWuRbvN5q,66
33,Father Of Mine,2hx4ptqsE8dboLH3NCLmaN,63
34,Do For Love,4AE7Lj39VnSZNOmGH2iZaq,71
35,You Make Me Wanna...,47TqCCnEliDp8NRDyIQoQq,67
36,The Impression That I Get,1ru5R5iSawvuMELqKXxLjS,65
37,Du hast,6uEvFCaOqXyEidoO8BZbyh,66
38,Too Close,5IFCyWplye09HytIP80RCF,65
39,Notorious Thugs - 2014 Remaster,19FsxX4RthRMZGfXkImdCb,66
40,Go the Distance,0D1OY0M5A0qD5HGBvFmFid,62
41,Tiene Espinas El Rosal,1PZ3QsCFec05Ls3PwOqKXZ,69
42,Miami,6e8Ou0wiqAzIpWb2eSxll8,70
43,On & On,0tNuJpBgtE65diL6Q8Q7fI,67
44,"Touch, Peel And Stand",2eG7o3BfbzohiETArwsX1K,64
45,Monkey Wrench,44wXefe8WB9Fd6xwtmAwbR,68
46,Muchachita Consentida,1zVDbrBG7zCd6AXGLmbGj4,69
47,Ocean Man,6M14BiCN00nOsba4JaYsHW,65
48,Tubthumping,5YScXJKtefsgdskIy60N7A,62
49,Life's a Dance,0NyMrtH8mUuvtJjEpESn7J,61
99,Beautiful Disaster,0LtsuNRz3IMRrHCYO9fKRk,61
149,Tearin' up My Heart - Radio Edit,594M0rqYMOo8BhMGEdoi5C,62
199,They Don't Know,0b5w1gamS9f239Sms9guAB,61
249,Somebody's Baby,4SlCb8n5Jw52astU7GWPyV,61
299,Fuel,1tTPC0hsnXq1IGpvWY54JC,61
349,Rain,4G1qRhOk1YY0kewtMaCrMC,63
399,The General,6n6EXIwLtNwe4u4CFzENYm,61
449,No Surprises,1bSpwPhAxZwlR2enJJsv7U,72
499,Te Amo,2Y1qcW4b9aVRnX1fHaVvxY,59
549,Around the World,1pKYYY0dkg23sQQXi0Q5zN,70
599,She's Got It All,4l8u5h7OjkZo2UmyUoeKYJ,60
649,Nice & Slow,5L0KDoZklMgs9GPoonneEl,63
699,Zero To Hero,4zDfgax6Ihb0UWdour1ZEs,61
749,Barbie Girl,2RSOzvKUnfDDrb2nQPfpQU,62
799,I Won't Say (I'm In Love),0PKmDncVOiNQLO6D1P6PXi,61
849,Bitch,3i6qNxyVgIdUZTTi5m25EM,67
899,Clavado En Un Bar,78DVpEWwmJFC25KGz8fJuE,72
