,name,spotify_id,popularity
0,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,82
1,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,85
2,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,82
3,Redbone,0wXuerDYiBnERgIpbb3JBR,81
4,Starboy,7MXVkk9YMctZqd1Srtv4MB,83
5,Closer,7BKLCZ1jbUBVqRi2FVlTVw,84
6,Feeling Whitney,35r28RDot7nPE7y9K9H7l0,78
7,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,73
8,Nights,7eqoqGkKwgOaWNNHx90uEZ,78
9,Mr Loverman,0MF5QHFzTUM2dYm6J7Vngt,78
10,What Ifs (feat. Lauren Alaina),7zVCrzzEJU7u24sbJPXA5W,75
11,Train Wreck,55Am8neGJkdj2ADaM3aw5H,81
12,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,78
13,Ivy,2ZWlPOoWh0626oTaHrnl2a,77
14,Go Flex,5yuShbu70mtHXY0yLzCQLQ,78
15,Needed Me,4pAl7FkDMNBsjykPXo91B3,79
16,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,80
17,Pink + White,3xKsf9qdS1CyvXSMEid6g8,77
18,"Psycho, Pt. 2",26OhjtaTamFocE08t83ml6,78
19,Money Longer,0B8QzDH7YWih85V5SEMnyJ,74
20,Heathens,6i0V12jOa3mr6uu4WYhUBr,81
21,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,76
22,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,80
23,How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd,74
24,7 Years (Remix),1kFlDnWmBTvCBxxeGDpIdp,77
25,Somebody Else,5hc71nKsUgtwQ3z52KEKQk,74
26,Godspeed,34xTFwjPQ1dC6uJmleno7x,76
27,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,73
28,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,72
29,Love On The Brain,5oO3drDxtziYU2H1X23ZIp,80
30,Japanese Denim,1boXOL0ua7N2iCOUVI1p9F,75
31,Fight Song,37f4ITSlgPX81ad2EvmVQr,79
32,7 Years,5kqIPrATaCc2LqxVWzQGbk,79
33,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,72
34,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,77
35,Erase Your Social,4uhvMW7ly7tJil31YYscAN,72
36,Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,71
37,You're Welcome,6U4VqEHy4n5VeiH4pQPL24,74
38,One Dance,1zi7xx7UVEFkmKfv06H8x0,81
39,Dirt On My Boots,7f08qp3HROTkfrtNpiYGGo,71
