,name,spotify_id,popularity
0,20 Min,0uxSUdBrJy9Un0EYoBowng,82
1,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,83
2,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,83
3,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,84
4,Chanel,6Nle9hKrkL1wQpwNfEkxjh,81
5,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,78
6,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,81
7,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,77
8,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,81
9,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82
10,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,79
11,Believer,0pqnGHJpmpxLKifKRmU6WP,87
12,Let You Down,52okn5MNA47tk87PeZJLEL,82
13,Pretty Girl,0KyAGiNGUytG5JLxJu4F6l,79
14,Feathered Indians,2tgQaL85WoRfgEa4hFQgrE,75
15,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,77
16,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,78
17,Perfect,0tgVpDi06FyKpA1z0VMD4v,86
18,Heaven,1HXy5I3HTWq8OvxCn0z7G7,76
19,Location,152lZdxL1OR0ZMW6KquMif,80
20,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,78
21,Lady May,3t5OV1asJHmOlf23T08CLv,74
22,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,79
23,White Noise - 500 hz,65rkHetZXO6DQmBh3C2YtW,79
24,Save That Shit,0S0vWvyZ6Rc79TXkWxT9QA,81
25,8TEEN,5bgwqaRSS3M8WHWruHgSL5,79
26,Silence,7vGuf3Y35N4wmASOKLUVVU,82
27,White Noise - 145 hz,6H4B9gJD6eQlNoEh8q85pP,78
28,Best Friend,47Bg6IrMed1GPbxRgwH2aC,80
29,Thunder,1zB4vmk8tFRmM9UULNzbLB,84
30,Hold On,5vjLSffimiIP26QG5WcN2K,82
31,Beamer Boy,7hf89cT5FEmLV5E9fjrjG7,79
32,Clean White Noise - Loopable with no fade,2bRKxuH1o7pTmb1y4GfdEc,85
33,Goodie Bag,4vHNeBWDQpVCmGbaccrRzi,77
34,Look At Me!,7floNISpH8VF4z4459Qo18,82
35,Rumor,56eGOeSsqdg3FLxdo83TwV,74
36,Losin Control,4cxMGhkinTocPSVVKWIw0d,77
37,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,78
38,In Case You Didn't Know,10M2Ex445zw585Ducldzkw,75
39,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,79
40,If You Want Love,3i5qVV8azKqGFK4Gzdt5YS,78
41,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,76
42,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,79
43,do re mi,3Q3myFA7q4Op95DOpHplaY,77
44,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,82
45,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,75
46,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,81
47,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,78
48,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,82
49,Caroline,5hTpBe8h35rJ67eAWHQsJx,76
99,Buttercup,2mlGPkAx4kwF8Df0GlScsC,80
149,Lie,07FkzikE6FuHIa8Ma7zJGc,78
199,DNA.,6HZILIRieu8S0iqY8kIKhj,77
249,Loving Is Easy,5EYi2rH4LYs6M21ZLOyQTx,78
299,Falling for U,0sHFw13WH3LtSB3yP8UMYJ,78
349,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,79
399,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,75
449,Lust,7oJrVhiTPZGBXWPwhxjy9S,76
499,Flaming Hot Cheetos,1F6IbA7di42uPc3cff8PXV,76
549,Sorry Not Sorry,7gvd8xj4QgPqbQSsn5pV7d,79
599,Shape of You,7qiZfU4dY1lWllzX7mPBI3,85
649,Eyes On You,5AnSllIrgGsCZzZJkVnApx,74
699,Coaster,39KG4kom3enSx4GTThuDGt,76
749,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,83
799,The Weekend,6gU9OKjOE7ghfEd55oRO57,75
849,Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,78
899,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,74
949,Happier,2RttW7RAu5nOAfq6YFvApB,82
999,Selfish,2xbI8Vmyv3TkpTdywpPyNw,74
1049,Heart Mind,2OPxM2L3KtuehqY24vTMGs,76
1099,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs,74
1149,Sweet Creature,5kRPPEWFJIMox5qIkQkiz5,79
1199,Roll In Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,75
1249,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,80
1299,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,78
1349,Sativa,2pg2TiYo9Rb8KeB5JjP7jS,74
1399,First Day Out,3muBQDekYAg7jm6hDu6R0Z,72
1449,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,74
1499,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,78
1549,Mask Off,0VgkVdmE4gld66l8iyGjgx,79
1599,One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,72
1649,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,78
1699,The Weekend - Funk Wav Remix,0P6AWOA4LG1XOctzaVu5tt,76
1749,Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb,80
1799,Weak,5DZwnLxHjWTZaz9jOpRhxb,70
1849,772 Love,230wNo1dnexltKYQbsW7oD,72
1899,Body,21RzyxY3EFaxVy6K4RqaU9,76
1949,What They Want,3pndPhlQWjuSoXhcIIdBjv,78
1999,Easily,2k9N4caeCIJLOWwWwssrEM,76
2049,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,75
2099,Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z,72
2149,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,74
2199,BLEACH,0dWOFwdXrbBUYqD9DLsoyK,74
