,name,spotify_id,popularity
0,Killing In The Name,59WN2psjkt1tyaxjspN8fp,78
1,No Rain,6txWz9UapYHVxEd7dDIHXT,74
2,What's Up?,0jWgAnTrNZmOGmqgvHhZEm,78
3,Chattahoochee,59kHPbwyyCApYA8RQQEuXm,69
4,Rooster,0wvIGFIgbyz4JNwQhZgTv2,69
5,Walk,7fcfNW0XxTWlwVlftzfDOR,73
6,Jump Around,3TZwjdclvWt7iPJUnMpgcs,74
7,Friday I'm in Love,263aNAQCeFSWipk896byo6,67
8,"Nuthin' But A ""G"" Thang",4YtoipFgf4k0AfD17ZfD5X,73
9,Would?,5sFDReWLrZHLFZFjHsjUTS,71
10,I Will Always Love You,4eHbdreAnSOrDDsFfc4Fpm,77
11,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,72
12,Nieves De Enero,15oVebJsvQd0O8rv22HwBe,68
13,Alma Enamorada,4vpaq405VfAjjam64HOxuw,67
14,Baby Got Back,1SAkL1mYNJlaqnBQxVZrRl,67
15,Weak,71EHOyEOhNx1SzTebRRyng,66
16,I Have Nothing,31er9IGsfFbwqy1pH4aiTP,74
17,Passin' Me By,4G3dZN9o3o2X4VKwt4CLts,68
18,Thunder Kiss '65,4tvBoSWeIW0bjhKNre5mod,64
19,Symphony Of Destruction,51TG9W3y9qyO8BY5RXKgnZ,71
20,Real Love,3XG801WWhqC753dekEBkMt,64
21,Them Bones,4A065x9kJt955eGVqf813g,66
22,Runaway Train,3TW48DvQ7ChwY1Yy1tkMaP,69
23,Oye Mi Amor,5EJ2THuhAapEIeQOtXUQ0x,71
24,Plush - 2017 Remaster,0CkspLl535ZxdwCRs8AdZ4,62
25,Smoke Two Joints,0Jur3mZsQba3vqSpcmsOPm,62
26,I'm So Into You,5A0aUvnfAEcmUx3hoXjI8R,63
27,Hey Jealousy,4o7ZPI2fmEi3piRe0Hrfpy,61
28,Walking on Broken Glass,4CcSw8wQAHYf4XNckayPoc,69
29,L-O-V-E,4QxDOjgpYtQDxxbWPuEJOy,69
30,Hermanos Mata,65FVNeobrosMmZPQDMo185,63
31,El Crimen De Culiacán,5pkr9BmnShPMoo5QLnpmnA,64
32,Jingle Bell Rock,3hBXvHLlTHvnbwrPbeoyAj,68
33,Jump,27AHAtAirQapVldIm4c9ZX,66
34,Everybody Hurts,6PypGyiu0Y2lCDBN1XZEnP,74
35,Mi Vida Eres Tú,5mKwzq7UTXf1xwWcpPoteX,66
36,Los Chismes,2PP65VcRvkiNZUq7Wd0yP8,63
37,Creep - 2017 Remaster,6dmueYtoihUhlQZlImBCmm,60
38,Cómo Estás Tú,34dKLs3lTn2gqEai9xZSgc,64
39,Bubba Shot The Jukebox,0PsBdKWnOQGMo9smobflvy,60
40,Fuck Wit Dre Day (And Everybody's Celebratin'),04fX3oTJm5Zucg3Uf9aix0,64
41,I Cross My Heart - Pure Country Soundtrack Version,6FHXJu99aQAUnivEjPhuUR,60
42,No Ordinary Love,1oaaSrDJimABpOdCEbw2DJ,66
43,Aca Entre Nos,2FDFz5TuYlpP180AUicAcl,67
44,God Bless The U.S.A.,623lYBOJ7bLwh1bu3yeN5V,59
45,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",612VcBshQcy4mpB2utGc3H,72
46,Down In A Hole,7FRfYOql61DGDp9VPPe2qA,63
47,40oz. To Freedom,0vtJ9Dq53hfXE3KyP1yPni,59
48,Let Me Ride,1pjDKRg5WddCDSlG5PXcKy,63
49,Change,44RW9FEY76mLQCRQUjT0Zt,62
99,Sex Type Thing - 2017 Remaster,6skC0VsaOZE1kG4CwXI2Zj,59
149,Damn It Feels Good to Be a Gangsta,0HOqINudNgQFpg1le5Hnqe,60
199,T-R-O-U-B-L-E,5YY64mW5PL5waJKUsIJIQt,59
249,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",3BEZCNZSmVv30vsMNSOCri,70
299,Some Girls Do,37JPdGgYcQAJSElj5boJx8,58
349,Achy Breaky Heart,2EoIt9vdgFRNW03u5IvFsQ,66
399,Bombtrack,2rBHnIxbhkMGLpqmsNX91M,65
449,Right Here - Human Nature Radio Mix,5u3FywQOPJ5O7ZAjm31cnq,63
499,Scarlet Begonias,1NpLCZNSYEegtDYCRA5PNN,58
549,Arabian Nights,0CKmN3Wwk8W4zjU0pqq2cv,61
599,Tonight's Da Night,67mtN6BlsJR0LVyzvNZnGt,62
649,Unsung,0z25tUQgEI4cIyNZ1TgWig,61
699,I'm in a Hurry (And Don't Know Why),1N9GGOUf8TQqsaPDByZzEF,58
749,Don't Walk Away,7tsRp7QKUBp6hc9bth0h7x,61
799,They Reminisce Over You (T.R.O.Y.),2Mb3zpobD0CvJGWv6NpsPy,60
849,Sunglasses At Night,1QbQL5m30YNvukitIqAnFG,61
899,Man On The Moon,4jLv3tDBu8ww2R07DvL12s,68
949,Bed Of Roses,1zng9uqqXoPkmU05nsAlsw,73
999,Trashy Women - Remastered Version,7EeTwuxEO4JXNbQP7nhrDB,57
1049,Pero Te Vas A Arrepentir,7fUuC299Gjpe7gkW3pBbZp,62
1099,Freak Me,5CdJveJgiGXoGwDFqF6afp,58
1149,Mario Peralta,6HRpgUqFOM2qHJv0jgygu8,59
1199,What About Your Friends,63PIgPkDf3rswlU4ZWCYAM,58
1249,"If I Had $1,000,000",0KeDuUqEX3P0cKzRD5pEom,59
1299,Finally Friday,26Cp8dnAmqRY6od1ZYQp6r,56
1349,Life Is A Highway,0hKF8N8aflF1uDzEEnPr2j,64
1399,Know Your Enemy,1XTGyfJeMiZXrZ1W3NolcB,63
1449,Rump Shaker,4dY4JVC0Q9CwpeZ6JAclIc,55
1499,The King of Wishful Thinking,4UQLQJu3DNvVkMVglwElU2,64
1549,Prenda Del Alma,3L1zBcJiHEogFnS1iYgSU2,60
1599,Del Signo Libra,52nNbyJq5duX1tzxMTQMXG,62
1649,Wicked Garden - 2017 Remaster,7FblcKgEyo6zZjSMAnYpOX,56
1699,Quiereme,6o9ODcGxMPFZDjdS7z3VpN,61
1749,Waiting For My Ruca,3Cx9j78Z0NE6jYwBWvvV3P,55
1799,Date Rape,7FLQo89iaS5gf2hnIEW7P9,56
1849,Fear of the Dark - 2015 Remaster,0h4rVZcOiSaL9b5mT1A2gq,54
1899,Wake Up,2QiqwOVUctPRVggO9G1Zs5,63
1949,If I Ever Fall In Love,1jCsCYgzQQHk3bDJDuFbNi,56
1999,Back To The Hotel,47ukoPgAExwBp64F2gQlv2,55
2049,Que De Raro Tiene,3gA2qpAbnuKLQV8Q9ZtIcf,63
2099,Found Out About You,5WmDRnuGYo31xrWNDcYaps,55
2149,Bitches Ain't Shit,0JSCZdPOPR7d8Mfi09tIxU,60
2199,When You Wish Upon a Star,1WrPa4lrIddctGWAIYYfP9,58
2249,Who Do You Love?,6EMImSrB2kkbz0ZHtMa7zj,57
2299,Me Vale,0NfdbvWFwlVMA183QibxCB,59
2349,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",7B3UAPLYAbwXVgbHSKEaTw,65
2399,Florita Del Alma,2HFV1Ag8fdvGqF28TVHtKp,57
2449,Y Tú Con Él,1UcuiA4y04FqFZnWUBGIDS,59
2499,A Whole New World,5VIfacsWytkcgr7aTt8Tql,58
2549,Bandido De Amores,51oukvakolz61ebuXR3iIh,62
