,name,spotify_id,popularity
0,Don't Go Breaking My Heart,5pKJtX4wBeby9qIfFhyOJj,69
1,Man in the Box,6gZVQvQZOFpzIy3HblJ20F,72
2,Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,71
3,She Talks To Angels,5NK8jad728pj6YeqM5VJD4,66
4,Poison,6m59VvDUi0UQsB2eZ9wVbH,65
5,Hard To Handle,05NYcsjJwOYq4jIiKPVj9p,69
6,Cowboys from Hell,2SgbR6ttzoNlCRGQOKjrop,70
7,U Can't Touch This,1B75hgRqe7A4fwee3g3Wmu,73
8,More Than Words,1gVgkQFOKa8Wc1HYsJtPdH,66
9,Nothing Compares 2 U,3nvuPQTw2zuFAVuLsC9IYQ,75
10,Hold On,4VZDv8sASBS8UruUBGTFdk,68
11,What I Like About You,6NdcSEhpGGAYXNnnhGS2s6,66
12,Wind Of Change,3ovjw5HZZv43SxTwApooCM,78
13,Cherry Pie,7LygtNjQ65PSdzVjUnHXQb,66
14,"It Must Have Been Love - From the Film ""Pretty Woman""",6kvoHl80mfCVTv7XnZkjQn,75
15,The Humpty Dance,3OcQkcvTcohs8vO8Rd3sKF,63
16,Istanbul (Not Constantinople),63vL5oxWrlvaJ0ayNaQnbX,68
17,Enjoy the Silence - Single Mix,1YwNlWLf8auhazSQUDQLFU,65
18,There She Goes,0SMkzFGJOBFDI9KfYD55L0,61
19,Hunger Strike,0W7AbEauB7cP4pidLclApe,61
20,Black Betty,2ZOTtG7v1OrSNs6EINIGb4,67
21,Unchained Melody,1jFhnVoJkcB4lf9tT0rSZS,64
22,Cemetery Gates,4vJr55lngvhSM8WIh9CjQc,66
23,Cherry-coloured Funk,6sVQNUvcVFTXvlk3ec0ngd,64
24,I'm Gonna Be Somebody,4ICSwxlVyGaTquNqblL7Y9,60
25,Abrázame Muy Fuerte,2nejvFyJeTDtMRP2nUMt0J,72
26,Cherry Pie,18ESXa5mEm1V4Pkt5GSXWx,62
27,Mama Said Knock You Out,6C7ZgThn6Yan5MTZdAEEFw,63
28,Fancy,0FtV0YbnnjD7PXpLHFHPhn,59
29,Been Caught Stealing,51Gkc1TxvyQ9K8y0pQRmQM,57
30,Rayando El Sol,4Ofg5uuH7qqDIXpAJMpXZV,69
31,Gonna Make You Sweat (Everybody Dance Now),7eheoW4hxrH51ww2QePVwF,66
32,Holy Wars...The Punishment Due - Remastered 2004,5LyRtsQLhcXmy50VXhQXXS,66
33,All I Wanna Do Is Make Love To You,5YjKdeES9QRJ8NmF4Xc8pV,67
34,Unskinny Bop,1Z6lKdYhwp8WYoBqGCKxlM,62
35,Story of My Life,4Q4w8aRdfhIIEhBututktL,61
36,Whatever You Want,6yl6TMw87Nq0mWBQtw9muQ,57
37,Moneytalks,5u5F7qLDvZjBSktaDp4HxB,64
38,High Enough,5t5rCnsgRBtcKqTB7SbD1Q,60
39,Painkiller,0L7zm6afBEtrNKo6C6Gj08,66
40,Feels Good,4cRR2gUTOerkUOW5iZpm91,57
41,Quién Como Tú,0ElaCi1Qf86iEWhsxCw5h5,55
42,Say Hello 2 Heaven,4L2S9GbwEgwfSbHjTCvNQX,56
43,Let's Chill,12soRJf1RZRsCd0QUnJUYL,56
44,Convoy,6dGWq08LXuIw6T2oUeHECh,59
45,Around The Way Girl,6jL1SnyXcXiKOmw4M2RnmT,56
46,La Célula Que Explota,5mB0MGsRfKZALHrXjnktCK,68
47,Ice Ice Baby,11d9oUiwHuYt216EFA2tiz,61
48,"Love Without End, Amen",4pFNWAU8e8F32NQkMyLAZi,56
49,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",1sUTfgduT0WIQO8kXKXxLC,65
99,Fight The Power,1yo16b3u0lptm6Cs7lx4AD,60
149,Love of a Lifetime,2kDH08boXJyhKMl5hnZbrE,61
199,Heaven Or Las Vegas,1bwXRScnt3k6vSyVqcKyNj,60
249,Domination,769cLRTw2y6KRdkFWFkxtu,62
299,Silent Lucidity - Remastered 2003,6OSyCAmXT4Gkd3OQ2aPOaF,62
349,But Anyway,1HpBm13TNcyMW3PoUrlZPv,55
399,Amores Como el Nuestro,1RpCXjlxFGS6LfPOvqSJ7M,67
449,"My, My, My",0Z9FRM5zukGVagh8TVSdrI,54
499,"Oiga, Mire, Vea",17Sfr3T1chYPGcmM4VlhCh,64
549,Tornado Of Souls - Remastered 2004,4E5xVW505akJX0wcKj8Mpd,64
599,American Remains,4REjaHRPmVb7btssqChJSy,58
649,El Triste,1YICQeq7s1Q2QmaOU1CxwS,58
699,I Like The Way,0flZtKtmkZMNqFF7V7Yfmu,55
749,Step by Step,6J6RWKCPN5RFKHUKEUFjxS,62
799,Ball and Chain,4CsTkNvkwQLel6sxQqrXSj,55
849,Hangar 18 - Remastered 2004,6b6uLZsoGhObYexIxnRbIb,62
899,Policy of Truth - 2006 Remaster,0C6EIiQu8CS4eYtOCMEiAd,57
949,Don't Close Your Eyes,3eIc0XWlqNkT290DfwNyBJ,55
999,Tan enamorados,5kxol5m6MfiJgahqyzbDRH,69
1049,Hold On,3ZqjDpr3qCZnZBPcd0Hpj2,57
1099,Twice As Hard,4nJlfdLIucLBkXEJPsSCSp,56
1149,Don't Treat Me Bad,4lbhQdbiTpNP7GowZG8KsM,56
1199,Cliffs Of Dover - Instrumental,5qm0KiVKMXW1kq6VrnIhz5,60
1249,I Melt With You - Rerecorded,78ocJAEFOYKVjYgXZ8fggD,56
1299,Are You Ready,7A1odihHBrI8n9k0Fefh2j,64
1349,Baby I'm Ready,3efy0g1He1zJ4B94VMbbBo,54
1399,Something To Believe In - Remastered,7pUYjnFTXMs0mFWsE9epqV,56
1449,It Takes Two,3Yxmpx64AdWAzG3qAD4Dty,56
1499,You've Lost That Lovin' Feelin',5GMw6X6BbCDGO9gApQYRSa,58
1549,Sensitivity,3lRgzwd3g1TewI4zjgbh9V,52
1599,Qué Hay de Malo,4b55fVKJprjWWj4KhKgxMf,65
1649,Carol of the Bells,4tHqQMWSqmL6YjXwsqthDI,57
1699,Maybe It Was Memphis,3wjD3Ufjll7UKrEDPdGuX3,53
1749,The Ghetto,3B6WDceNe6lUQnczntRIuf,56
1799,I'll Never Smile Again,2Pi0rY9FcbaecqO0AyhXbu,56
1849,Jet City Woman - Remastered 2003,4sOlbksuGHyUkSafNnho2f,54
1899,Send Me An Angel,1bKQ48M9onID2kbSpRy8kK,69
1949,Birdhouse in Your Soul,6pmuu4qSz2WrtGkBjUfyuz,57
1999,Vision of Love,0gLQ6jhJsyYfl7PrD1RZ7X,59
2049,Personal Jesus - 2006 Remaster,7dhM0KUBxuZV9z5iNodLyn,54
2099,Country Club,6o7BCdJjGvHBBPMb4ZrA68,53
2149,Around The Way Girl,4Qxv2L4JICAWLFrBV6QeH8,56
2199,Ring of Fire,3hKScGxI28Zor6zJ7JL7aS,55
2249,Gotas De Lluvia,6sna5KCgNbt1ciZtVJCjzx,66
2299,Groove Is in the Heart,2He3NOyqtLNE3RQPpeDdSb,62
2349,She's Playing Hard To Get,3xRbymJj98leHL7K8Y94WS,55
