,name,spotify_id,popularity
0,Riptide,3JvrhDOgAt6p7K8mDyZwRd,78
1,Wet Dreamz,6Ius4TC0L3cN74HT7ENE6e,78
2,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,79
3,Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,73
4,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,74
5,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,74
6,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,82
7,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,80
8,Let It Go,13HVjjWUZFaWilh2QUJKsP,73
9,Little Do You Know,1almCHdsfikRPfVB9VrEdT,79
10,18,3JjnGLK8IxkNLvo8Lb3KOM,80
11,House Party,1TwLKNsCnhi1HxbIi4bAW0,72
12,Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,77
13,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,82
14,Sugar,2iuZJX9X9P0GKaE93xcPjk,80
15,Jealous,4L2K7JKseFCBoHMZEAszW0,79
16,Blank Space,1p80LdxRV74UKvL8gnD7ky,71
17,Latch,1DunhgeZSEgWiIYbHqXl0c,71
18,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,83
19,Summer,6YUTL4dYpB9xZO5qExPf05,80
20,Sour Patch Kids,5DJNyvuMmZfsfvdTpMMmUq,71
21,American Kids,1dgWTMoHwTUnQhOQ8SR5fV,70
22,Bang Bang,0puf9yIluy9W0vpMEUoAnN,79
23,Sober,5NhlpQ6BOIz3S5welptk1W,73
24,Chamber Of Reflection,1MJ5f5EYBC92ADD6xcz7nb,74
25,G.O.M.D.,16qYlQ6koFxYVbiJbGHblz,73
26,Shake It Off,5xTtaWoae3wi06K5WfVUUH,70
27,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,77
28,Somebody To You,2BWWsCwuHAZFE1scLyP6Qe,70
29,Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,81
30,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,69
31,She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,70
32,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,80
33,Doses & Mimosas,44CZRkOxv7UItaAUmh8PgN,70
34,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,77
35,Night Changes,5O2P9iiztwhomNh8xkR9lJ,78
36,One Last Time,7xoUc6faLbCqZO6fQEYprd,78
37,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,84
38,The Nights,0ct6r3EGTcMLPtrXHDvVjc,81
39,Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,78
40,Collard Greens,0zO8ctW0UiuOefR87OeJOZ,73
41,Budapest,2ixsaeFioXJmMgkkbd4uj1,77
42,Unravel,0GLyqTysS0DFoeKjURtB8s,76
43,Me And My Broken Heart,1oew3nFNY3vMacJAsvry0S,76
44,I Don't Dance,5aj0xPGiEUN3aI2oOYu14S,69
45,Maps,4gbVRS8gloEluzf0GzDOFc,77
46,Gooey,1gk3FhAV07q9Jg77UxnVjX,71
47,Shower,3DmW6y7wTEYHJZlLo1r6XJ,76
48,Me and My Kind,4rW9EUFaMSNVY8JhbqrB6z,68
49,Only,4MRT0dDbhqFKl67WzhUbSw,68
99,Amnesia,1JCCdiru7fhstOIF4N7WJC,69
149,Trophies,6HfOzLLjsaXsehIFEsrxTk,72
199,Wolf in Sheep's Clothing (feat. William Beckett),4WXFDVe299Po8ih6Np54n2,70
249,Hot N*gga,19gEmPjfqSZT0ulDRfjl0m,72
299,I Mean It (feat. Remo),6jmTHeoWvBaSrwWttr8Xvu,73
349,Like Real People Do,57V4uc2b2diZ4RPHXWecb9,68
399,"Honey, I'm Good.",4MflGTO2ZTcSQ12bWcyRgI,71
449,Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71,69
499,Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,71
549,Workin' on,5kSPD3rOo2hGYVwheIxpv8,70
599,Drunk On A Plane,1soxUgYIZb1qx1c7o1Lc7z,68
649,Left Hand Free,4iEOVEULZRvmzYSZY2ViKN,68
699,Rude,6RtPijgfPKROxEzTHNRiDp,78
749,Animals,2bL2gyO6kBdLkNSkxXNh6x,76
799,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,69
849,Girl Crush,11qh54D0PKkBwelpDxxiEU,68
899,Feeling Myself,5fyIGoaaKelzdyW8ELhYJZ,67
949,Love Yourz,4gkl7QbQvBd3TM9PhlWFkI,70
999,Cherry Wine - Live,1C042FLYy7rP3MfnkOcnha,67
