name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Adore You,3jjujdWJ72nww5eGnfs2E7,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Say So,3Dv1eDb0MEgF93GpLXlucZ,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
FRANCHISE (feat. Young Thug & M.I.A.),4jVBIpuOiMj1crqd8LoCrJ,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
ROXANNE,696DnlkuDOXcMAnKlTgXXK,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Believer,0pqnGHJpmpxLKifKRmU6WP,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Smile (with The Weeknd),6wQlQrTY5mVS8EGaFZVwVF,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
my future,2ygvZOXrIeVL4xZmAWJT2C,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Ice Cream (with Selena Gomez),2J4P46vCFm1rPkNkp9pZWX,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Stunnin' (feat. Harm Franklin),2D0dj3hVkRQJCp63cxCPEx,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Before You Go,7ce20yLkzuXXLUhzIDoZih,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Party Girl,5RqR4ZCCKJDcBLIn4sih9l,87.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Got It On Me,25zlnOAzbVoOzIeXSvQFf1,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Dior,79s5XnCN4TJKTVMSmOx8Ep,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Wolves (feat. Post Malone),33gwZOGJWEZ7dRWPqPxBEZ,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
After Party,527k23H0A4Q0UJN3vGs0Da,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Before You Go,2gMXnyrvIjhVBUZwvLZDMP,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
You Got It,4lsHZ92XCFOQfzJFBTluk8,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
cardigan,4R2kfaDFhslZEMJqAFNpdd,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Perfect,0tgVpDi06FyKpA1z0VMD4v,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
7 rings,6ocbgoVGwYJhOv1GgI9NsF,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Daisy,0AUvWawuP0ibk4SQ3sIZjk,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Supalonely,4nK5YrxbMGZstTLbvj6Gxw,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
