name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
I Remember,62h4GYm6aTqS0dsfJtKYIX,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Battle of the Heroes,1u3nu8fNWFua6mQjw4ReEt,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
All By Myself - Single Edit,6G3DBTj1s8fuKMAvzTK5JI,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
O.P.P. (Re-Recorded),19QKzuW4mgq2Kuu7aHa4Ll,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Would I Lie to You? - Remastered Version,1lJZSsMoWEbrgaY6CxPMf8,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Cómo Me Duele,50GRxHQ3cW2yBmlPIF9urf,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Hotel (feat. R. Kelly),4hHXhCRSnOKd6nMGaivmD0,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Big Pimpin' / Papercut,4DLH2fr8pWX1iksMrk47Kw,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Pedron Antraxx,5d0NFQJ1O2CUMMtmgjwK3F,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Aguanta Corazón,15wuN0eAzGzwLZk5AD9ptF,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Guns for Hire,31F5kR9fPxI7lBV0Stfl4V,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sam's Town,77Kh98jRHI40rIAKnBs7cl,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Don't Think They Know (feat. Aaliyah),3uVCPFmavlWGQUqeYh8HhR,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Girls Just Want to Have Fun,0QVgZCAnasHo3TevIz7XLW,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Seven Nights In Eire,4CZrDF50zES5KDHmZbX2BG,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Life in a Northern Town,4m3OS54KWywYhP7WD7z1cg,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Y No Hago Mas Na',4fHYtAHpAmsFDq7kTLzgh5,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Wifey,3NEzjZbeSCy72Kx1clSYgC,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Y Aquí Estoy,2fKimbKY2cu68b63kYODbB,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
