name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
What It Takes,2fAYTT9kcUm8tnUrhD80sC,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Out for a Rip,3GTUXYB1x0Md6ceQGfDRXC,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Be Your Girl,4AOUkAWdXPucnYe6GYdZjk,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Baby's Got Sauce,7MXK7DwU1DpGFTA31AZW6S,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Grapevine Fires,1x3bxSSANgIxkoyGldhmdX,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
No Tears,6kYTywTCfycHZcH0WdLyRy,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Age Ain't Nothing But a Number,2hMk3VNicbCoV8I81m7Z3q,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Amigas Cheetahs,2vC1qUcTJlWO9JQfcaOk9b,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Pieces,7C0yPWHEwTPQ4xqOz96Aro,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Jodye,375YEKrb4JSu03HPzwOFfJ,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
El Borrego,7hVGVarDgrC7FCOslZFcAo,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Get Me Bodied,6fmeXejj4CNkAQ78yao7oE,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Don't Hold the Wall,7I7EnQnVJH1uSJ0cSQKPuu,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Feels Like Tonight,2tVCFmn2zKg2wGXS1TCIIA,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
"For the First Time in Forever - From ""Frozen""/Soundtrack Version",4iGIvHmNRzi8mkTFE1ksAZ,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Pimp Of The Year,5f8KgDZ8aQKQii0U1qdRbC,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Blind Spots,6K8HUxHtrxGKUJxY6lEQy0,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Lullaby,5GWyNA4n9hx5rhkK0KvQ83,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Cisco Kid,11CiPQqnR8j7nsfZVMpboM,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Elwynn Forest,1YYTAOi1YMxmGclyO1HH6O,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Stone,6N18F843M7cyNozIzLfBbS,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Cherry Waves,70L6nHORQsblY813yNqUR3,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
"Baby, Now That I've Found You",1yrHbj1OW7ZKz9xbXWyWwJ,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
"I Don't Need No Doctor - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4MeXE7YF459t1PbFTtAklF,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Down By The Bay,33Are2qiGVcR2pS4EwWLY3,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Bring It,5BInskLvwqz56ClUpfqdI4,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Proud Mary,5YI7v4VBa23fbEt9wuUmkg,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Extraordinary Girl / Letterbomb,2M38zNMI7gCoCwfEUZQPq5,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Love Like Winter,3cDE9Yn4GrsxSrlMCLdmTT,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Private Caller,2FDJTo05zVmswy9x1FjlAa,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Elevate,5BxVRqpZi6tIhAap1ZjzVD,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
I Wanna Smoke,6aSpOtfzxFZ7hy0Bom7c1k,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Trust In You,6aUZTbyshptdpu7H6Mirjw,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Do You See,2e3YoddL43UkaSqhYGqfKz,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
El Martillo,3JwIj8HBtkgJpXTDejfAYc,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
What's Left Of Me,1bPqAXwNiVcM6zjJU1Z4Cd,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
It's Okay (One Blood),5hg3xm9mxcz9Xb6r59y9Ow,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",11g9GgpchfORJxVEYFFDoL,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
People Are Strange - New Stereo Mix,6chyadaFmcdgpfSDW31KVj,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Exxus,3Gq1Ib3ycJQfzg0U76Fk3P,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Only the Young,1E2iehquphUsbmj8VTzWdQ,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Get Buck,2v89G6dKQHB3LiV1Ej1vfX,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Cumbia Sobre El Rio,3RXhO8IlQNwnH6FFXBYQMn,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
This Charming Man - Single Version; 2008 Remaster,1oDpnYvcjkgxNc9ytYmxQJ,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Keep Me,5wGmaQYNYxJZrnWykQG3HF,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
95 Till Infinity,7jsCldOdBvg2lw3LE7mIau,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Amor Sin Maquillaje,3P5i3hoBQFeLNLHzxWU3od,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Too Many Puppies,30dxVfMjlhBY6fXo3ThhJM,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
I've Got A Tiger By The Tail - 2006 Remastered Version,1GDAvJth0ebssC2XkG7RYM,49.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
