name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Você Vai Ver,0jwGxgupGo2ovlU5eonF9D,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Jesus Is The One (I Got Depression),1YR9iNGXtsbrd8deR9ULDD,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Hate My Life,5zcLnqZbAjDGXX7HNcT1rE,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Mover Awayer,1yyIxshSIfW89EPTW0xkPH,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Habits,3KkWGDCb6byHjNYjxBihGK,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Need U Bad,0Ri0LzOMJmqi9HGZE5cRYV,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Shattered (Turn The Car Around),0J3MfW6wwIBqC4zjp5AbQL,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Holiday / Boulevard of Broken Dreams,0HJRAM7Gt9jXskuXjZeFX3,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
How To Love,1ZOROX1KhC9xipkXFCxeDf,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sanctified with Dynamite,2ZUUturolW3VpzXWzPEy2X,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Coming In From The Cold,6lmLUNd7mcyYqKcg6EIAOu,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Para Que Regreses,0EZ5c3oWdpWIaYHvifMqI2,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Word Up!,1pHPpLVH2XEN0xYRoQs4wq,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Ahora Quien - Salsa Version,5A32KQZznC2HSqr9qzTl2N,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Vermilion,0fX9KPa0i9RGDI59gI90i9,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Your Love Is King - Remastered,5EwNOL1CWnM74ptsVvW9OV,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Everybody's Changing,5hkdfA87RZvNaxl6XiveOA,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
She Don't Use Jelly,1dJuteDIOkGfDSN7zPkzNv,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Where Does the Good Go,0L7QCEXQBDAtEyK1x72Sw0,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sheep May Safely Graze,7wEql4SrP9nL5U4zxmcrVM,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Blood and Thunder,3jagGO7eHHuaD53ibehkux,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
American Idiot,45zvStEMsXp8z45OQRhWFJ,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
La Loca,7mpz4Drmu692aPo4qsaHTC,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
ON SOME HIGH,7kizsInsKbkwsJUBOncDuQ,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Crowded Table,5HuaHij4kVpfEVv93MYCeW,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,66LhCsc06aTa2Ig7iYPDSP,61.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
