name,spotify_id,popularity
Dior,79s5XnCN4TJKTVMSmOx8Ep,86.0
You Got It,4lsHZ92XCFOQfzJFBTluk8,86.0
Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,86.0
cardigan,4R2kfaDFhslZEMJqAFNpdd,86.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,86.0
If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,86.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,86.0
Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,86.0
Daisy,0AUvWawuP0ibk4SQ3sIZjk,86.0
Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,86.0
Before You Go,2gMXnyrvIjhVBUZwvLZDMP,86.0
Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,86.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,86.0
Supalonely,4nK5YrxbMGZstTLbvj6Gxw,86.0
Supalonely,4nK5YrxbMGZstTLbvj6Gxw,86.0
If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,86.0
Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,85.0
Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,85.0
Hello (feat. A Boogie Wit da Hoodie),2r6OAV3WsYtXuXjvJ1lIDi,85.0
"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,85.0
feel something,7JDWhC422Gtk1Bq0mL3OTC,85.0
when the party's over,43zdsphuZLzwA9k4DJhU0I,85.0
Señorita,0TK2YIli7K1leLovkQiNik,85.0
Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,85.0
Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,85.0
exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,85.0
All of Me,3U4isOIWM3VvDubwSI3y7a,85.0
my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,85.0
WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,85.0
Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,85.0
hot girl bummer,2mt1IqcFyY1zmYZT8Q3xw9,85.0
Tap In,4Hpib09wXgD84w4uwTPnYD,85.0
Lose Control,7CHi4DtfK4heMlQaudCuHK,85.0
Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,85.0
"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,85.0
Runnin,5SWnsxjhdcEDc7LJjq9UHk,85.0
Señorita,0TK2YIli7K1leLovkQiNik,85.0
feel something,7JDWhC422Gtk1Bq0mL3OTC,85.0
